team,GP,W,D,L,F,A,GD,P
Norwich City,46,28,10,8,79,39,40,94
West Bromwich Albion,46,25,11,10,64,42,22,86
Sunderland,46,22,13,11,62,45,17,79
West Ham United,46,19,17,10,67,45,22,74
Ipswich Town,46,21,10,15,84,72,12,73
Crystal Palace,46,21,10,15,72,61,11,73
Wigan Athletic,46,18,17,11,60,45,15,71
Sheffield UnitedS,46,20,11,15,65,56,9,71
Reading,46,20,10,16,55,57,-2,70
Millwall,46,18,15,13,55,48,7,69
Stoke City,46,18,12,16,58,55,3,66
Coventry City,46,17,14,15,67,54,13,65
Cardiff City,46,17,14,15,68,58,10,65
Nottingham Forest,46,15,15,16,61,58,3,60
Preston North End,46,15,14,17,69,71,-2,59
Watford,46,15,12,19,54,68,-14,57
Rotherham United,46,13,15,18,53,61,-8,54
Crewe AlexandraC,46,14,11,21,57,66,-9,53
Burnley,46,13,14,19,60,77,-17,53
Derby County,46,13,13,20,53,67,-14,52
Gillingham,46,14,9,23,48,67,-19,51
Walsall,46,13,12,21,45,65,-20,51
Bradford CityB,46,10,6,30,38,69,-31,36
Milton Keynes Dons,46,8,5,33,41,89,-48,29
