team,GP,W,D,L,F,A,GD,P
Caen,38,18,15,5,52,30,22,69
Brest,38,20,7,11,53,34,19,67
Arles,38,16,12,10,43,39,4,60
Metz,38,14,14,10,43,39,4,56
Angers,38,15,10,13,46,43,3,55
Clermont FootC,38,15,9,14,48,41,7,54
Le Havre AC,36,14,10,12,45,45,0,52
Dijon FCO,38,12,15,11,52,46,6,51
NimesN,38,13,12,13,37,43,-6,51
ToursT,38,11,16,11,47,46,1,49
SedanSedan,38,11,16,11,46,46,0,49
Stade LavalS,37,10,18,9,47,41,6,48
Vannes OCVannes OC,38,11,13,14,40,49,-9,46
AC Ajaccio,37,12,9,16,38,42,-4,45
Nantes,38,12,9,17,43,54,-11,45
ChateaurouxC,38,10,14,14,50,54,-4,44
FC Istres,38,11,11,16,34,52,-18,44
Guingamp,38,9,16,13,35,40,-5,43
Strasbourg,38,9,15,14,42,49,-7,42
Bastia,38,10,9,19,40,48,-8,39
