team,GP,W,D,L,F,A,GD,P
AC Ajaccio,0,0,0,0,0,0,0,0
AJ Auxerre,0,0,0,0,0,0,0,0
Beziers ASBeziers AS,0,0,0,0,0,0,0,0
Brest,0,0,0,0,0,0,0,0
ChateaurouxC,0,0,0,0,0,0,0,0
Clermont FootC,0,0,0,0,0,0,0,0
GFC Ajaccio,0,0,0,0,0,0,0,0
Grenoble,0,0,0,0,0,0,0,0
Le Havre AC,0,0,0,0,0,0,0,0
Lens,0,0,0,0,0,0,0,0
Lorient,0,0,0,0,0,0,0,0
Metz,0,0,0,0,0,0,0,0
AS Nancy Lorraine,0,0,0,0,0,0,0,0
Niort,0,0,0,0,0,0,0,0
Orléans,0,0,0,0,0,0,0,0
Paris FC,0,0,0,0,0,0,0,0
Red Star FC R,0,0,0,0,0,0,0,0
Sochaux,0,0,0,0,0,0,0,0
Troyes,0,0,0,0,0,0,0,0
Valenciennes,0,0,0,0,0,0,0,0
