team,GP,W,D,L,F,A,GD,P
Paris Saint-Germain ,25,21,2,2,76,17,59,65
AS Monaco,25,16,5,4,60,26,34,53
Marseille,25,15,7,3,55,29,26,52
Lyon,25,14,6,5,54,30,24,48
Nantes,25,11,5,9,26,26,0,38
Montpellier,25,9,10,6,23,20,3,37
Bordeaux,25,10,5,10,32,34,-2,35
Stade Rennes,25,10,4,11,30,33,-3,34
Nice,25,10,4,11,31,37,-6,34
Guingamp,25,9,6,10,25,32,-7,33
Caen,25,9,4,12,18,28,-10,31
Dijon FCO,24,9,4,11,36,48,-12,31
Strasbourg,25,8,6,11,30,42,-12,30
Saint-Etienne,25,8,6,11,26,40,-14,30
Toulouse,25,7,5,13,22,33,-11,26
Lille,25,7,5,13,23,39,-16,26
SC Amiens,25,7,4,14,22,30,-8,25
Angers,25,5,10,10,27,38,-11,25
Troyes,24,7,3,14,23,34,-11,24
Metz,25,5,3,17,23,46,-23,18
