team,GP,W,D,L,F,A,GD,P
Lens,38,20,8,10,47,35,12,68
Montpellier,38,19,9,10,61,36,25,66
Boulogne,38,20,6,12,51,36,15,66
Strasbourg,37,18,10,9,57,45,12,64
ToursT,38,17,10,11,50,41,9,61
Metz,36,16,11,9,47,35,12,59
Angers,38,13,14,11,46,42,4,53
Dijon FCO,38,14,10,14,43,46,-3,52
SedanSedan,38,13,12,13,46,49,-3,51
Vannes OCVannes OC,38,14,9,15,34,45,-11,51
Bastia,38,13,9,16,38,47,-9,48
Clermont FootC,38,12,11,15,46,50,-4,47
Guingamp,38,10,16,12,37,35,2,46
Brest,37,13,6,18,45,49,-4,45
ChateaurouxC,38,11,11,16,40,46,-6,44
AC Ajaccio,38,11,11,16,44,56,-12,44
NimesN,38,11,11,16,32,46,-14,44
SC Amiens,38,9,16,13,35,40,-5,43
Troyes,38,9,11,18,39,48,-9,38
Stade de Reims,38,7,15,16,40,51,-11,36
