Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
E0,24/10/99,Everton,Leeds United,4,4,D,3,2,H
E0,24/10/99,Watford,Middlesbrough,1,3,A,0,2,A
E0,24/10/99,West Ham United,Sunderland,1,1,D,0,1,A
E0,25/10/99,Newcastle United,Derby,2,0,H,1,0,H
E0,27/10/99,Liverpool,West Ham United,1,0,H,1,0,H
E0,30/10/99,Arsenal,Newcastle United,0,0,D,0,0,D
E0,30/10/99,Derby,Chelsea,3,1,H,1,1,D
E0,30/10/99,Leeds United,West Ham United,1,0,H,0,0,D
E0,30/10/99,Leicester City,Sheffield Weds,3,0,H,2,0,H
E0,30/10/99,Manchester United,Aston Villa,3,0,H,2,0,H
E0,30/10/99,Middlesbrough,Everton,2,1,H,1,1,D
E0,30/10/99,Wimbledon,Southampton,1,1,D,0,0,D
E0,31/10/99,Coventry,Watford,4,0,H,2,0,H
E0,31/10/99,Sunderland,Tottenham Hotspur,2,1,H,2,0,H
E0,01/11/99,Liverpool,Bradford,3,1,H,2,1,H
E0,06/11/99,Aston Villa,Southampton,0,1,A,0,0,D
E0,06/11/99,Bradford,Coventry,1,1,D,1,1,D
E0,06/11/99,Liverpool,Derby,2,0,H,0,0,D
E0,06/11/99,Manchester United,Leicester City,2,0,H,1,0,H
E0,06/11/99,Middlesbrough,Sunderland,1,1,D,0,0,D
E0,06/11/99,Sheffield Weds,Watford,2,2,D,0,1,A
E0,07/11/99,Chelsea,West Ham United,0,0,D,0,0,D
E0,07/11/99,Newcastle United,Everton,1,1,D,0,0,D
E0,07/11/99,Tottenham Hotspur,Arsenal,2,1,H,2,1,H
E0,07/11/99,Wimbledon,Leeds United,2,0,H,1,0,H
E0,20/11/99,Arsenal,Middlesbrough,5,1,H,2,0,H
E0,20/11/99,Derby,Manchester United,1,2,A,0,0,D
E0,20/11/99,Everton,Chelsea,1,1,D,1,0,H
E0,20/11/99,Leeds United,Bradford,2,1,H,0,0,D
E0,20/11/99,Leicester City,Wimbledon,2,1,H,1,1,D
E0,20/11/99,Southampton,Tottenham Hotspur,0,1,A,0,0,D
E0,20/11/99,Sunderland,Liverpool,0,2,A,0,0,D
E0,20/11/99,Watford,Newcastle United,1,1,D,0,0,D
E0,21/11/99,West Ham United,Sheffield Weds,4,3,H,1,1,D
E0,22/11/99,Coventry,Aston Villa,2,1,H,1,1,D
E0,27/11/99,Coventry,Leicester City,0,1,A,0,0,D
E0,27/11/99,Everton,Aston Villa,0,0,D,0,0,D
E0,27/11/99,Middlesbrough,Wimbledon,0,0,D,0,0,D
E0,27/11/99,Watford,Sunderland,2,3,A,1,2,A
E0,27/11/99,West Ham United,Liverpool,1,0,H,1,0,H
E0,28/11/99,Arsenal,Derby,2,1,H,1,1,D
E0,28/11/99,Chelsea,Bradford,1,0,H,1,0,H
E0,28/11/99,Leeds United,Southampton,1,0,H,0,0,D
E0,28/11/99,Newcastle United,Tottenham Hotspur,2,1,H,1,1,D
E0,04/12/99,Aston Villa,Newcastle United,0,1,A,0,0,D
E0,04/12/99,Bradford,Middlesbrough,1,1,D,0,1,A
E0,04/12/99,Leicester City,Arsenal,0,3,A,0,1,A
E0,04/12/99,Manchester United,Everton,5,1,H,3,1,H
E0,04/12/99,Southampton,Coventry,0,0,D,0,0,D
E0,04/12/99,Sunderland,Chelsea,4,1,H,4,0,H
E0,04/12/99,Wimbledon,Watford,5,0,H,2,0,H
E0,05/12/99,Derby,Leeds United,0,1,A,0,0,D
E0,05/12/99,Liverpool,Sheffield Weds,4,1,H,2,1,H
E0,06/12/99,Tottenham Hotspur,West Ham United,0,0,D,0,0,D
E0,18/12/99,Arsenal,Wimbledon,1,1,D,0,1,A
E0,18/12/99,Aston Villa,Sheffield Weds,2,1,H,0,1,A
E0,18/12/99,Bradford,Newcastle United,2,0,H,0,0,D
E0,18/12/99,Leicester City,Derby,0,1,A,0,0,D
E0,18/12/99,Liverpool,Coventry,2,0,H,1,0,H
