Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
E3,07/09/97,Peterboro,Barnet,5,1,H,,,,,,,,,,,,,,,,,,,,,
E3,07/09/97,Scarborough,Hartlepool,1,1,D,,,,,,,,,,,,,,,,,,,,,
E3,08/09/97,Colchester,Brighton & Hove Albion,3,1,H,,,,,,,,,,,,,,,,,,,,,
E3,09/09/97,Darlington,Swansea City,3,2,H,,,,,,,,,,,,,,,,,,,,,
E3,09/09/97,Exeter,Cardiff City,1,1,D,,,,,,,,,,,,,,,,,,,,,
E3,09/09/97,Shrewsbury,Rochdale,1,0,H,,,,,,,,,,,,,,,,,,,,,
E3,10/09/97,Rotherham,Lincoln,3,1,H,,,,,,,,,,,,,,,,,,,,,
E3,12/09/97,Colchester,Scarborough,1,0,H,,,,,,,,,,,,,,,,,,,,,
E3,13/09/97,Brighton & Hove Albion,Darlington,0,0,D,,,,,,,,,,,,,,,,,,,,,
E3,13/09/97,Cambridge,Barnet,1,3,A,,,,,,,,,,,,,,,,,,,,,
E3,13/09/97,Cardiff City,Rochdale,2,1,H,,,,,,,,,,,,,,,,,,,,,
E3,13/09/97,Chester,Shrewsbury,2,0,H,,,,,,,,,,,,,,,,,,,,,
E3,13/09/97,Hartlepool,Torquay,3,0,H,,,,,,,,,,,,,,,,,,,,,
E3,13/09/97,Hull City,Lincoln,0,2,A,,,,,,,,,,,,,,,,,,,,,
E3,13/09/97,Leyton Orient,Exeter,1,0,H,,,,,,,,,,,,,,,,,,,,,
E3,13/09/97,Macclesfield,Swansea City,3,0,H,,,,,,,,,,,,,,,,,,,,,
E3,13/09/97,Notts County,Mansfield,1,0,H,,,,,,,,,,,,,,,,,,,,,
E3,13/09/97,Rotherham,Peterboro,2,2,D,,,,,,,,,,,,,,,,,,,,,
E3,13/09/97,Scunthorpe,Doncaster,1,1,D,,,,,,,,,,,,,,,,,,,,,
E3,16/09/97,Cardiff City,Chester,0,2,A,,,,,,,,,,,,,,,,,,,,,
E3,20/09/97,Barnet,Scunthorpe,0,1,A,,,,,,,,,,,,,,,,,,,,,
E3,20/09/97,Darlington,Hartlepool,1,1,D,,,,,,,,,,,,,,,,,,,,,
E3,20/09/97,Doncaster,Cambridge,0,0,D,,,,,,,,,,,,,,,,,,,,,
E3,20/09/97,Exeter,Rotherham,3,1,H,,,,,,,,,,,,,,,,,,,,,
E3,20/09/97,Lincoln,Cardiff City,1,0,H,,,,,,,,,,,,,,,,,,,,,
E3,20/09/97,Mansfield,Chester,4,1,H,,,,,,,,,,,,,,,,,,,,,
E3,20/09/97,Peterboro,Leyton Orient,2,0,H,,,,,,,,,,,,,,,,,,,,,
E3,20/09/97,Rochdale,Hull City,2,1,H,,,,,,,,,,,,,,,,,,,,,
E3,20/09/97,Scarborough,Macclesfield,2,1,H,,,,,,,,,,,,,,,,,,,,,
E3,20/09/97,Shrewsbury,Notts County,1,2,A,,,,,,,,,,,,,,,,,,,,,
E3,20/09/97,Swansea City,Colchester,0,1,A,,,,,,,,,,,,,,,,,,,,,
E3,20/09/97,Torquay,Brighton & Hove Albion,3,0,H,,,,,,,,,,,,,,,,,,,,,
E3,27/09/97,Barnet,Lincoln,0,0,D,,,,,,,,,,,,,,,,,,,,,
E3,27/09/97,Brighton & Hove Albion,Rochdale,2,1,H,,,,,,,,,,,,,,,,,,,,,
E3,27/09/97,Cambridge,Cardiff City,2,2,D,,,,,,,,,,,,,,,,,,,,,
E3,27/09/97,Colchester,Exeter,1,2,A,,,,,,,,,,,,,,,,,,,,,
E3,27/09/97,Darlington,Mansfield,0,0,D,,,,,,,,,,,,,,,,,,,,,
E3,27/09/97,Hartlepool,Shrewsbury,2,1,H,,,,,,,,,,,,,,,,,,,,,
E3,27/09/97,Macclesfield,Peterboro,1,1,D,,,,,,,,,,,,,,,,,,,,,
E3,27/09/97,Rotherham,Chester,4,2,H,,,,,,,,,,,,,,,,,,,,,
E3,27/09/97,Scarborough,Notts County,1,2,A,,,,,,,,,,,,,,,,,,,,,
E3,27/09/97,Scunthorpe,Hull City,2,0,H,,,,,,,,,,,,,,,,,,,,,
E3,27/09/97,Swansea City,Leyton Orient,1,1,D,,,,,,,,,,,,,,,,,,,,,
E3,27/09/97,Torquay,Doncaster,2,0,H,,,,,,,,,,,,,,,,,,,,,
E3,04/10/97,Cardiff City,Barnet,1,1,D,,,,,,,,,,,,,,,,,,,,,
E3,04/10/97,Chester,Hartlepool,3,1,H,,,,,,,,,,,,,,,,,,,,,
E3,04/10/97,Doncaster,Brighton & Hove Albion,1,3,A,,,,,,,,,,,,,,,,,,,,,
E3,04/10/97,Exeter,Scarborough,1,1,D,,,,,,,,,,,,,,,,,,,,,
E3,04/10/97,Hull City,Torquay,3,3,D,,,,,,,,,,,,,,,,,,,,,
E3,04/10/97,Leyton Orient,Macclesfield,1,1,D,,,,,,,,,,,,,,,,,,,,,
E3,04/10/97,Lincoln,Cambridge,0,0,D,,,,,,,,,,,,,,,,,,,,,
E3,04/10/97,Mansfield,Colchester,1,1,D,,,,,,,,,,,,,,,,,,,,,
E3,04/10/97,Notts County,Darlington,1,1,D,,,,,,,,,,,,,,,,,,,,,
E3,04/10/97,Peterboro,Swansea City,3,1,H,,,,,,,,,,,,,,,,,,,,,
E3,04/10/97,Rochdale,Scunthorpe,2,0,H,,,,,,,,,,,,,,,,,,,,,
