Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
E0,15/08/98,Blackburn Rovers,Derby,0,0,D,0,0,D
E0,15/08/98,Coventry,Chelsea,2,1,H,2,1,H
E0,15/08/98,Everton,Aston Villa,0,0,D,0,0,D
E0,15/08/98,Manchester United,Leicester City,2,2,D,0,1,A
E0,15/08/98,Middlesbrough,Leeds United,0,0,D,0,0,D
E0,15/08/98,Newcastle United,Charlton Athletic,0,0,D,0,0,D
E0,15/08/98,Sheffield Weds,West Ham United,0,1,A,0,0,D
E0,15/08/98,Wimbledon,Tottenham Hotspur,3,1,H,0,0,D
E0,16/08/98,Southampton,Liverpool,1,2,A,1,1,D
E0,17/08/98,Arsenal,Nott'm Forest,2,1,H,0,0,D
E0,22/08/98,Charlton Athletic,Southampton,5,0,H,1,0,H
E0,22/08/98,Chelsea,Newcastle United,1,1,D,1,1,D
E0,22/08/98,Derby,Wimbledon,0,0,D,0,0,D
E0,22/08/98,Leicester City,Everton,2,0,H,2,0,H
E0,22/08/98,Liverpool,Arsenal,0,0,D,0,0,D
E0,22/08/98,Nott'm Forest,Coventry,1,0,H,0,0,D
E0,22/08/98,Tottenham Hotspur,Sheffield Weds,0,3,A,0,2,A
E0,22/08/98,West Ham United,Manchester United,0,0,D,0,0,D
E0,23/08/98,Aston Villa,Middlesbrough,3,1,H,1,0,H
E0,24/08/98,Leeds United,Blackburn Rovers,1,0,H,1,0,H
E0,29/08/98,Arsenal,Charlton Athletic,0,0,D,0,0,D
E0,29/08/98,Blackburn Rovers,Leicester City,1,0,H,1,0,H
E0,29/08/98,Coventry,West Ham United,0,0,D,0,0,D
E0,29/08/98,Everton,Tottenham Hotspur,0,1,A,0,1,A
E0,29/08/98,Middlesbrough,Derby,1,1,D,0,1,A
E0,29/08/98,Sheffield Weds,Aston Villa,0,1,A,0,1,A
E0,29/08/98,Southampton,Nott'm Forest,1,2,A,0,0,D
E0,29/08/98,Wimbledon,Leeds United,1,1,D,0,0,D
E0,30/08/98,Newcastle United,Liverpool,1,4,A,1,4,A
E0,08/09/98,Leeds United,Southampton,3,0,H,1,0,H
E0,08/09/98,Nott'm Forest,Everton,0,2,A,0,0,D
E0,09/09/98,Aston Villa,Newcastle United,1,0,H,0,0,D
E0,09/09/98,Chelsea,Arsenal,0,0,D,0,0,D
E0,09/09/98,Derby,Sheffield Weds,1,0,H,1,0,H
E0,09/09/98,Leicester City,Middlesbrough,0,1,A,0,1,A
E0,09/09/98,Liverpool,Coventry,2,0,H,1,0,H
E0,09/09/98,Manchester United,Charlton Athletic,4,1,H,2,1,H
E0,09/09/98,Tottenham Hotspur,Blackburn Rovers,2,1,H,1,1,D
E0,09/09/98,West Ham United,Wimbledon,3,4,A,3,1,H
E0,12/09/98,Aston Villa,Wimbledon,2,0,H,1,0,H
E0,12/09/98,Charlton Athletic,Derby,1,2,A,0,1,A
E0,12/09/98,Chelsea,Nott'm Forest,2,1,H,2,0,H
E0,12/09/98,Everton,Leeds United,0,0,D,0,0,D
E0,12/09/98,Leicester City,Arsenal,1,1,D,1,0,H
E0,12/09/98,Manchester United,Coventry,2,0,H,1,0,H
E0,12/09/98,Newcastle United,Southampton,4,0,H,2,0,H
E0,12/09/98,Sheffield Weds,Blackburn Rovers,3,0,H,2,0,H
E0,12/09/98,West Ham United,Liverpool,2,1,H,1,0,H
E0,13/09/98,Tottenham Hotspur,Middlesbrough,0,3,A,0,2,A
E0,19/09/98,Coventry,Newcastle United,1,5,A,1,3,A
E0,19/09/98,Derby,Leicester City,2,0,H,1,0,H
E0,19/09/98,Leeds United,Aston Villa,0,0,D,0,0,D
E0,19/09/98,Liverpool,Charlton Athletic,3,3,D,1,1,D
E0,19/09/98,Middlesbrough,Everton,2,2,D,2,0,H
E0,19/09/98,Nott'm Forest,West Ham United,0,0,D,0,0,D
E0,19/09/98,Southampton,Tottenham Hotspur,1,1,D,0,1,A
E0,19/09/98,Wimbledon,Sheffield Weds,2,1,H,1,0,H
E0,20/09/98,Arsenal,Manchester United,3,0,H,2,0,H
E0,21/09/98,Blackburn Rovers,Chelsea,3,4,A,1,1,D
E0,24/09/98,Manchester United,Liverpool,2,0,H,1,0,H
E0,26/09/98,Aston Villa,Derby,1,0,H,1,0,H
E0,26/09/98,Charlton Athletic,Coventry,1,1,D,0,0,D
E0,26/09/98,Chelsea,Middlesbrough,2,0,H,0,0,D
E0,26/09/98,Everton,Blackburn Rovers,0,0,D,0,0,D
E0,26/09/98,Newcastle United,Nott'm Forest,2,0,H,1,0,H
E0,26/09/98,Sheffield Weds,Arsenal,1,0,H,0,0,D
E0,26/09/98,Tottenham Hotspur,Leeds United,3,3,D,1,2,A
E0,27/09/98,Leicester City,Wimbledon,1,1,D,0,0,D
E0,28/09/98,West Ham United,Southampton,1,0,H,0,0,D
E0,03/10/98,Blackburn Rovers,West Ham United,3,0,H,1,0,H
E0,03/10/98,Coventry,Aston Villa,1,2,A,0,2,A
E0,03/10/98,Derby,Tottenham Hotspur,0,1,A,0,0,D
E0,03/10/98,Leeds United,Leicester City,0,1,A,0,0,D
E0,03/10/98,Middlesbrough,Sheffield Weds,4,0,H,2,0,H
E0,03/10/98,Nott'm Forest,Charlton Athletic,0,1,A,0,1,A
E0,03/10/98,Southampton,Manchester United,0,3,A,0,1,A
E0,03/10/98,Wimbledon,Everton,1,2,A,1,1,D
E0,04/10/98,Arsenal,Newcastle United,3,0,H,2,0,H
E0,04/10/98,Liverpool,Chelsea,1,1,D,0,1,A
E0,17/10/98,Arsenal,Southampton,1,1,D,1,0,H
E0,17/10/98,Chelsea,Charlton Athletic,2,1,H,1,0,H
E0,17/10/98,Everton,Liverpool,0,0,D,0,0,D
E0,17/10/98,Manchester United,Wimbledon,5,1,H,2,1,H
E0,17/10/98,Middlesbrough,Blackburn Rovers,2,1,H,0,0,D
E0,17/10/98,Newcastle United,Derby,2,1,H,2,0,H
E0,17/10/98,Nott'm Forest,Leeds United,1,1,D,0,0,D
E0,17/10/98,West Ham United,Aston Villa,0,0,D,0,0,D
E0,18/10/98,Coventry,Sheffield Weds,1,0,H,0,0,D
E0,19/10/98,Leicester City,Tottenham Hotspur,2,1,H,1,1,D
E0,24/10/98,Aston Villa,Leicester City,1,1,D,0,1,A
E0,24/10/98,Charlton Athletic,West Ham United,4,2,H,1,2,A
E0,24/10/98,Derby,Manchester United,1,1,D,0,0,D
E0,24/10/98,Liverpool,Nott'm Forest,5,1,H,3,1,H
E0,24/10/98,Sheffield Weds,Everton,0,0,D,0,0,D
E0,24/10/98,Southampton,Coventry,2,1,H,2,0,H
E0,24/10/98,Tottenham Hotspur,Newcastle United,2,0,H,1,0,H
E0,24/10/98,Wimbledon,Middlesbrough,2,2,D,1,2,A
E0,25/10/98,Blackburn Rovers,Arsenal,1,2,A,0,2,A
E0,25/10/98,Leeds United,Chelsea,0,0,D,0,0,D
E0,31/10/98,Coventry,Arsenal,0,1,A,0,0,D
E0,31/10/98,Derby,Leeds United,2,2,D,1,2,A
E0,31/10/98,Everton,Manchester United,1,4,A,1,2,A
E0,31/10/98,Leicester City,Liverpool,1,0,H,0,0,D
E0,31/10/98,Newcastle United,West Ham United,0,3,A,0,0,D
E0,31/10/98,Sheffield Weds,Southampton,0,0,D,0,0,D
E0,31/10/98,Wimbledon,Blackburn Rovers,1,1,D,0,0,D
E0,01/11/98,Middlesbrough,Nott'm Forest,1,1,D,1,0,H
E0,02/11/98,Tottenham Hotspur,Charlton Athletic,2,2,D,0,1,A
E0,07/11/98,Aston Villa,Tottenham Hotspur,3,2,H,2,0,H
E0,07/11/98,Blackburn Rovers,Coventry,1,2,A,0,0,D
E0,07/11/98,Charlton Athletic,Leicester City,0,0,D,0,0,D
E0,07/11/98,Liverpool,Derby,1,2,A,0,2,A
E0,07/11/98,Nott'm Forest,Wimbledon,0,1,A,0,1,A
E0,07/11/98,Southampton,Middlesbrough,3,3,D,0,0,D
E0,08/11/98,Arsenal,Everton,1,0,H,1,0,H
E0,08/11/98,Leeds United,Sheffield Weds,2,1,H,1,1,D
E0,08/11/98,Manchester United,Newcastle United,0,0,D,0,0,D
E0,08/11/98,West Ham United,Chelsea,1,1,D,1,0,H
