Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
D1,04/10/98,Duisburg,VfB Stuttgart,2,0,H,1,0,H,,,,,,,,,,,
D1,16/10/98,Kaiserslautern,VfL Wolfsburg,1,1,D,0,0,D,,,,,,,,,,,
D1,16/10/98,TSV Munich 1860,VfL Bochum,2,1,H,2,1,H,,,,,,,,,,,
D1,17/10/98,Eintracht Frankfurt,Bayer Leverkusen,2,3,A,2,0,H,,,,,,,,,,,
D1,17/10/98,Hamburg SV,Duisburg,4,1,H,2,0,H,,,,,,,,,,,
D1,17/10/98,Borussia Monchengladbach,Nurnberg,0,2,A,0,1,A,,,,,,,,,,,
D1,17/10/98,Schalke 04,Bayern Munich,1,3,A,1,2,A,,,,,,,,,,,
D1,17/10/98,VfB Stuttgart,Hertha Berlin,0,0,D,0,0,D,,,,,,,,,,,
D1,17/10/98,Werder Bremen,SC Freiburg,2,3,A,1,3,A,,,,,,,,,,,
D1,18/10/98,Borussia Dortmund,Hansa Rostock,2,0,H,1,0,H,,,,,,,,,,,
D1,23/10/98,SC Freiburg,Borussia Dortmund,2,2,D,1,1,D,,,,,,,,,,,
D1,23/10/98,Hamburg SV,Werder Bremen,1,1,D,0,0,D,,,,,,,,,,,
D1,24/10/98,Bayern Munich,Kaiserslautern,4,0,H,2,0,H,,,,,,,,,,,
D1,24/10/98,VfL Bochum,Borussia Monchengladbach,2,1,H,1,1,D,,,,,,,,,,,
D1,24/10/98,Hansa Rostock,Schalke 04,2,2,D,0,0,D,,,,,,,,,,,
D1,24/10/98,Nurnberg,VfB Stuttgart,2,2,D,0,2,A,,,,,,,,,,,
D1,24/10/98,VfL Wolfsburg,Eintracht Frankfurt,2,0,H,1,0,H,,,,,,,,,,,
D1,25/10/98,Duisburg,Hertha Berlin,0,0,D,0,0,D,,,,,,,,,,,
D1,25/10/98,Bayer Leverkusen,TSV Munich 1860,1,1,D,1,0,H,,,,,,,,,,,
D1,30/10/98,Kaiserslautern,Hansa Rostock,3,2,H,0,2,A,,,,,,,,,,,
D1,30/10/98,Borussia Monchengladbach,Bayer Leverkusen,2,8,A,0,4,A,,,,,,,,,,,
D1,31/10/98,Eintracht Frankfurt,Bayern Munich,1,0,H,1,0,H,,,,,,,,,,,
D1,31/10/98,TSV Munich 1860,VfL Wolfsburg,2,3,A,0,1,A,,,,,,,,,,,
