Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
D2,16/08/02,SpVgg Greuther Fürth,Alemannia Aachen,0,0,D,0,0,D,1.667,3.25,4.5,1.63,3.4,4.63,1.6,3.4,4.6,1.571,3.4,5,1.55,3.45,5,1.65,1.95
D2,16/08/02,Mannheim,Union Berlin,1,2,A,1,1,D,2.1,3.2,3,2.1,3.1,3.1,2.1,3,3.1,2.1,3.2,3,2.15,3.15,2.8,1.65,1.95
D2,18/08/02,Burghausen,Karlsruher SC,0,0,D,0,0,D,2.25,3.2,2.75,2.05,3.15,3.15,1.9,3.1,3.5,2.25,3.1,2.8,2.4,3.1,2.5,1.75,1.85
D2,18/08/02,Oberhausen,TSV Eintracht Braunschweig,2,0,H,0,0,D,1.909,3.25,3.4,1.95,3.1,3.35,2,3.1,3.2,1.909,3.2,3.5,2.15,3.2,2.8,1.6,2.05
D2,18/08/02,Reutlingen,Lubeck,1,3,A,0,2,A,1.833,3.25,3.6,1.85,3.25,3.65,1.8,3.1,3.8,1.85,3.3,3.5,1.95,3.2,3.2,1.7,1.9
D2,18/08/02,St Pauli,Ahlen,1,4,A,1,0,H,1.8,3.25,3.75,1.91,3.3,3.46,2,3.1,3.2,1.8,3.25,3.8,1.9,3.25,3.3,1.6,2.05
D2,19/08/02,SC Freiburg,Eintracht Frankfurt,0,2,A,0,0,D,1.727,3.2,4.333,1.9,3.15,3.6,2,3.1,3.2,1.75,3.3,4,1.7,3.2,4.25,1.78,1.9
D2,23/08/02,Eintracht Frankfurt,SpVgg Greuther Fürth,2,0,H,1,0,H,1.727,3.2,4.333,1.73,3.4,4.35,1.65,3.3,4.4,1.727,3.3,4.2,1.75,3.25,3.85,1.81,1.86
D2,23/08/02,Ein Trier,Karlsruher SC,3,0,H,3,0,H,2.2,3.25,2.75,2.2,3.15,2.9,2,3.1,3.2,2.1,3.1,3.1,2.35,3.1,2.55,1.8,1.85
D2,23/08/02,Lubeck,St Pauli,6,0,H,2,0,H,2.1,3.25,2.875,2.15,3.25,3.3,2,3.1,3.2,2.1,3.2,3,1.9,3.25,3.3,1.7,1.95
D2,25/08/02,Ahlen,SC Freiburg,1,3,A,0,1,A,2.4,3.25,2.5,2.45,3.15,2.58,2.2,3,2.9,2.3,3.2,2.625,2.45,3.1,2.45,1.8,1.85
D2,25/08/02,TSV Eintracht Braunschweig,Reutlingen,1,2,A,1,0,H,1.8,3.25,3.75,1.75,3.4,4,1.8,3.1,3.8,1.75,3.25,4,1.7,3.3,4.1,1.65,1.95
D2,25/08/02,MSV Duisburg,Burghausen,0,0,D,0,0,D,1.615,3.5,4.5,1.65,3.45,4.8,1.75,3.2,4,1.615,3.4,4.75,1.5,3.6,5.2,1.75,1.9
D2,25/08/02,Mainz,Mannheim,2,0,H,0,0,D,1.667,3.25,4.5,1.6,3.45,5,1.65,3.3,4.4,1.6,3.3,5,1.6,3.4,4.6,1.65,2
D2,25/08/02,Union Berlin,Oberhausen,0,0,D,0,0,D,1.727,3.2,4.333,1.7,3.4,4.5,1.7,3.2,4.2,1.7,3.3,4.333,1.6,3.4,4.6,1.75,1.85
D2,26/08/02,Alemannia Aachen,FC Cologne,0,0,D,0,0,D,2.75,3.2,2.25,2.82,3.2,2.25,2.7,3,2.3,2.8,3.2,2.2,2.95,3.1,2.1,1.7,1.9
D2,10/09/02,Burghausen,Alemannia Aachen,2,2,D,0,1,A,2,3.2,3.2,1.99,3.2,3.45,1.85,3.1,3.6,2,3.2,3.2,1.9,3.25,3.3,2.05,1.62
D2,10/09/02,FC Cologne,Eintracht Frankfurt,3,2,H,1,1,D,1.909,3.25,3.4,2,3.2,3.45,1.9,3.1,3.5,1.909,3.2,3.5,1.85,3.25,3.45,1.72,1.96
D2,10/09/02,SpVgg Greuther Fürth,Ahlen,1,1,D,1,0,H,1.909,3.25,3.4,2.01,3.15,3.42,2,3.1,3.2,1.909,3.25,3.4,1.8,3.3,3.6,1.85,1.8
D2,10/09/02,Karlsruher SC,MSV Duisburg,1,1,D,1,1,D,2.2,3.25,2.75,2.25,3.15,2.9,2.2,3,2.9,2.1,3.2,3,2,3.25,3.05,1.81,1.85
D2,10/09/02,Mannheim,Ein Trier,0,2,A,0,1,A,2,3.2,3.2,1.96,3.1,3.4,2.1,3,3.1,2,3.2,3.2,1.8,3.3,3.6,1.75,1.96
D2,11/09/02,SC Freiburg,Lubeck,2,1,H,1,0,H,1.667,3.25,4.5,1.8,3.4,4.6,1.6,3.4,4.6,1.667,3.3,4.5,1.6,3.4,4.6,1.75,1.91
D2,11/09/02,Oberhausen,Mainz,1,0,H,0,0,D,2.5,3.1,2.5,2.5,3.15,2.48,2.4,3,2.6,2.5,3.1,2.5,2.45,3.1,2.45,1.9,1.78
D2,11/09/02,Reutlingen,Union Berlin,0,1,A,0,0,D,2.25,3.2,2.75,2.28,3.15,2.68,2.3,3,2.7,2.25,3.2,2.7,2.3,3.2,2.55,1.76,1.91
