team,GP,W,D,L,F,A,GD,P
Metz,38,22,10,6,55,28,27,76
Lens,38,17,14,7,58,40,18,65
Caen,38,18,10,10,65,44,21,64
AS Nancy Lorraine,38,16,13,9,47,37,10,61
Niort,38,15,13,10,51,47,4,58
Dijon FCO,38,14,15,9,53,42,11,57
Brest,38,15,11,12,38,32,6,56
ToursT,38,15,10,13,63,56,7,55
Angers,38,14,13,11,46,45,1,55
Troyes,38,15,7,16,56,44,12,52
CréteilCréteil,38,12,14,12,57,58,-1,50
Le Havre AC,38,11,15,12,43,43,0,48
Arles,38,10,16,12,36,38,-2,46
Clermont FootC,38,10,15,13,31,38,-7,45
Nimes,38,10,14,14,49,54,-5,44
AJ Auxerre,38,10,13,15,35,45,-10,43
Stade LavalS,38,10,12,16,44,52,-8,42
ChateaurouxC,38,10,10,18,43,59,-16,40
FC Istres,38,9,9,20,48,74,-26,36
CA Bastia,38,4,12,22,21,63,-42,24
