team,GP,W,D,L,F,A,GD,P
Evian Thonon Gaillard,38,18,13,7,63,41,22,67
AC Ajaccio,38,17,13,8,45,37,8,64
Dijon FCO,38,17,11,10,55,40,15,62
Le Mans,38,17,11,10,48,37,11,62
SedanSedan,38,15,14,9,57,37,20,59
Angers,38,14,15,9,41,32,9,57
Clermont FootC,38,12,16,10,51,49,2,52
Boulogne,38,13,13,12,35,41,-6,52
Le Havre AC,38,12,13,13,43,38,5,49
Stade de Reims,38,12,13,13,53,51,2,49
FC Istres,38,12,13,13,45,47,-2,49
ToursT,38,13,10,15,52,59,-7,49
Nantes,38,11,14,13,38,40,-2,47
ChateaurouxC,38,12,11,15,41,47,-6,47
Stade LavalS,38,11,14,13,36,43,-7,47
Troyes,38,13,7,18,35,45,-10,46
Metz,38,10,15,13,43,40,3,45
Vannes OCVannes OC,38,12,8,18,39,61,-22,44
Nimes,38,9,10,19,35,46,-11,37
Grenoble,38,7,12,19,36,60,-24,33
