team,GP,W,D,L,F,A,GD,P
Le Havre AC,37,21,12,4,60,30,30,75
Nantes,37,19,12,6,55,31,24,69
Grenoble,37,17,12,8,43,28,15,63
Clermont FootC,37,14,15,8,50,40,10,57
Troyes,37,15,12,10,46,39,7,57
Brest,37,15,11,11,38,38,0,56
SedanSedan,37,14,13,10,44,39,5,55
AC Ajaccio,37,14,11,12,36,40,-4,53
Angers,37,13,13,11,39,35,4,52
MontpellierM,37,13,12,12,38,32,6,51
Bastia,37,14,9,14,45,40,5,51
Guingamp,37,10,15,12,36,37,-1,45
Stade de Reims,37,12,9,16,41,49,-8,45
SC Amiens,37,11,11,15,45,47,-2,44
ChateaurouxC,37,10,12,15,33,42,-9,42
Niort,37,11,8,18,38,47,-9,41
Dijon FCO,37,9,14,14,31,50,-19,41
Boulogne,37,11,7,19,36,54,-18,40
LibourneLibourne,37,7,11,19,41,57,-16,32
FC GueugnonFC Gueugnon,37,5,11,21,35,55,-20,26
