team,GP,W,D,L,F,A,GD,P
Troyes,38,23,7,8,59,24,35,76
GFC Ajaccio,38,18,11,9,49,37,12,65
Angers,38,18,10,10,47,30,17,64
Dijon FCO,38,17,10,11,44,34,10,61
AS Nancy Lorraine,38,15,13,10,53,39,14,58
Brest,38,14,15,9,41,27,14,57
Le Havre AC,38,14,13,11,47,37,10,55
Stade LavalS,38,11,21,6,39,32,7,54
AJ Auxerre,38,12,16,10,48,42,6,52
Sochaux,38,13,13,12,39,37,2,52
Niort,38,11,17,10,41,42,-1,50
Clermont FootC,38,12,13,13,43,47,-4,49
CréteilCréteil,38,10,15,13,44,52,-8,45
Nimes,38,12,9,17,43,57,-14,45
ToursT,38,12,8,18,49,54,-5,44
AC Ajaccio,38,9,15,14,32,40,-8,42
Orléans,38,10,12,16,36,46,-10,42
Valenciennes,38,10,12,16,32,49,-17,42
ChateaurouxC,38,7,11,20,31,63,-32,32
Arles,38,7,9,22,31,59,-28,30
