team,GP,W,D,L,F,A,GD,P
Metz,12,9,1,2,24,9,15,28
Lens,12,8,2,2,20,6,14,26
Brest,12,8,2,2,25,13,12,26
Lorient,12,6,4,2,18,9,9,22
Orléans,12,7,1,4,19,14,5,22
Niort,12,6,2,4,16,13,3,20
Paris FC,12,5,5,2,11,8,3,20
Grenoble,12,6,2,4,14,13,1,20
Le Havre AC,12,5,4,3,14,11,3,19
Troyes,12,5,1,6,12,11,1,16
Clermont FootC,12,3,6,3,14,11,3,15
Beziers AS,12,4,2,6,9,13,-4,14
AC Ajaccio,12,3,4,5,12,16,-4,13
Sochaux,12,4,1,7,9,14,-5,13
Valenciennes,12,3,3,6,15,22,-7,12
ChateaurouxC,12,2,6,4,9,16,-7,12
GFC Ajaccio,12,3,3,6,11,21,-10,12
AJ Auxerre,12,3,1,8,10,16,-6,10
Red Star FC R,12,2,2,8,9,21,-12,8
AS Nancy Lorraine,12,1,2,9,4,18,-14,5
