team,GP,W,D,L,F,A,GD,P
Stade de Reims,38,28,4,6,74,24,50,88
Nimes,38,22,7,9,75,37,38,73
AC Ajaccio,38,20,8,10,62,43,19,68
Le Havre AC,38,19,9,10,53,34,19,66
Brest,38,18,11,9,58,43,15,65
Clermont FootC,38,17,12,9,54,36,18,63
Lorient,38,18,8,12,61,46,15,62
Paris FC,38,16,13,9,46,36,10,61
ChateaurouxC,38,17,9,12,50,50,0,60
Sochaux,38,15,8,15,51,62,-11,53
AJ Auxerre,38,13,8,17,51,55,-4,47
Orléans,38,12,10,16,52,61,-9,46
Valenciennes,38,12,9,17,50,64,-14,45
Lens,38,11,10,17,48,49,-1,43
Niort,38,11,9,18,47,60,-13,42
GFC Ajaccio,38,11,8,19,35,60,-25,41
AS Nancy Lorraine,38,9,11,18,39,54,-15,38
Bourg-PeronnasF,38,10,6,22,50,87,-37,36
US QuevillyU,38,9,6,23,45,66,-21,33
ToursT,38,5,8,25,34,68,-34,23
