team,GP,W,D,L,F,A,GD,P
Huesca,26,16,7,3,40,18,22,55
Cádiz,26,13,8,5,28,15,13,47
Rayo Vallecano,26,11,11,4,42,29,13,44
Real Oviedo,26,12,8,6,39,29,10,44
Granada,26,12,7,7,37,28,9,43
Osasuna,26,11,9,6,31,22,9,42
Numancia,26,11,8,7,33,27,6,41
Lugo,26,12,5,9,28,27,1,41
Sporting Gijón,26,11,6,9,37,27,10,39
Real Valladolid,26,11,6,9,45,39,6,39
Real Zaragoza,26,8,10,8,29,29,0,34
Tenerife,26,8,9,9,35,31,4,33
Reus DeportiuR,26,7,12,7,19,26,-7,33
AD Alcorcon,26,8,9,9,23,31,-8,33
Gimnastic de Tarragona,26,9,5,12,29,34,-5,32
Albacete,26,8,8,10,23,30,-7,32
Barcelona BBarcelona B,26,7,9,10,30,31,-1,30
Almeria,26,8,6,12,23,29,-6,30
Cultural Leonesa,26,6,11,9,33,42,-9,29
Cordoba,26,5,4,17,30,49,-19,19
Sevilla Atletico,26,2,10,14,17,36,-19,16
La Hoya Lorca,26,4,4,18,23,45,-22,16
