team,GP,W,D,L,F,A,GD,P
Levante,42,25,9,8,57,32,25,84
Girona,42,20,10,12,65,45,20,70
Getafe,42,18,14,10,55,43,12,68
Tenerife,42,16,18,8,50,37,13,66
Cádiz,42,16,16,10,55,40,15,64
Huesca,42,16,15,11,53,43,10,63
Real Valladolid,42,18,9,15,52,47,5,63
Real Oviedo,42,17,10,15,47,47,0,61
Lugo,42,14,13,15,49,52,-3,55
Cordoba,42,14,13,15,42,52,-10,55
Reus DeportiuR,42,13,16,13,31,29,2,55
Rayo Vallecano,42,14,11,17,44,44,0,53
Sevilla Atletico,42,13,14,15,55,56,-1,53
Gimnastic de Tarragona,42,12,16,14,47,51,-4,52
Almeria,42,14,9,19,44,49,-5,51
Real Zaragoza,42,12,14,16,50,52,-2,50
Numancia,42,11,17,14,40,49,-9,50
AD Alcorcon,42,13,11,18,32,43,-11,50
UCAM Murcia,42,11,15,16,42,51,-9,48
Mallorca,42,9,18,15,42,50,-8,45
Elche,42,11,10,21,49,63,-14,43
Mirandes,42,9,14,19,40,66,-26,41
