team,GP,W,D,L,F,A,GD,P
Xerez,42,24,10,8,73,42,31,82
Real Zaragoza,42,23,12,7,79,42,37,81
Tenerife,42,24,9,9,79,47,32,81
Hercules,42,21,15,6,82,43,39,78
Rayo Vallecano,42,18,16,8,55,39,16,70
Real Sociedad,42,17,16,9,48,38,10,67
CastellonCastellon,42,17,14,11,55,42,13,65
Levante,42,18,10,14,59,59,0,64
U.D. SalamancaSalamanca,42,16,12,14,59,50,9,60
Gimnastic de Tarragona,42,14,15,13,60,50,10,57
Huesca,42,13,14,15,47,46,1,53
Elche,42,13,14,15,52,50,2,53
Cordoba,42,14,11,17,47,54,-7,53
Murcia,42,14,10,18,48,58,-10,52
Albacete,42,13,12,17,42,54,-12,51
Girona,42,11,16,15,43,54,-11,49
Celta Vigo,42,10,18,14,46,56,-10,48
Las Palmas,42,10,17,15,46,51,-5,47
Alavés,42,11,10,21,42,64,-22,43
AlicanteAlicante,42,8,11,23,38,69,-31,35
Eibar,42,8,11,23,31,63,-32,35
Sevilla Atletico,42,2,13,27,29,89,-60,19
