Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
F1,28/07/00,Marseille,Troyes,3,1,H,2,1,H,1.65,3.3,4.3,1.45,3.5,5,,,,1.53,3.5,5.5,1.45,3.5,6
F1,28/07/00,Paris Saint-Germain,Strasbourg,3,1,H,1,1,D,1.6,3.4,4.6,1.35,3.6,6.5,,,,1.4,3.75,7,1.4,3.7,6.5
F1,29/07/00,AJ Auxerre,Sedan,0,1,A,0,1,A,1.7,3.3,3.9,1.7,3.1,3.8,,,,1.7,3.25,4.5,1.65,3.25,4.7
F1,29/07/00,Bordeaux,Metz,1,1,D,1,0,H,1.65,3.3,4.3,1.55,3.3,4.5,,,,1.57,3.4,5.25,1.5,3.4,6
F1,29/07/00,Guingamp,Saint-Etienne,2,2,D,2,1,H,2.25,3,2.75,2.2,2.8,2.8,,,,2.5,3.2,2.5,2.4,2.9,2.75
F1,29/07/00,Lille,AS Monaco,1,1,D,0,1,A,2.75,3,2.25,2.4,2.9,2.4,,,,3.25,3.2,2,2.9,3,2.25
F1,29/07/00,Lyon,Stade Rennes,2,2,D,0,2,A,1.6,3.4,4.6,1.5,3.4,4.7,,,,1.44,3.6,6.5,1.55,3.5,5.3
F1,29/07/00,Nantes,Lens,0,2,A,0,0,D,2.15,3,3,2,2.9,3,,,,2.25,3.2,2.75,2.1,3.1,3.1
F1,29/07/00,Toulouse,Bastia,0,1,A,0,0,D,2,3,3.5,1.9,2.8,3.3,,,,2.1,3.2,3,1.85,3.15,3.8
F1,03/08/00,Sedan,Lyon,1,1,D,0,0,D,2.1,3.1,3.2,2.2,2.8,2.8,,,,2.38,3.2,2.63,2.4,3,2.6
F1,04/08/00,AS Monaco,Nantes,2,5,A,1,4,A,1.4,4,6,1.4,3.6,5.5,,,,1.4,4,6.5,1.44,3.5,6.5
F1,04/08/00,Saint-Etienne,Marseille,3,0,H,1,0,H,2.35,3,2.75,2.2,2.8,2.8,,,,2.38,3.2,2.6,2.3,3,2.75
F1,05/08/00,Bastia,Bordeaux,2,0,H,1,0,H,1.8,3.1,4,2.1,2.8,3,,,,2.25,3.2,2.75,2.25,3.1,2.75
F1,05/08/00,Lens,Guingamp,3,2,H,1,0,H,1.4,3.2,8,1.5,3.2,5,,,,1.5,3.6,5.75,1.44,3.5,6.5
F1,05/08/00,Metz,AJ Auxerre,1,2,A,1,1,D,1.8,3,4.2,1.8,2.9,3.6,,,,2,3.2,3.25,2.2,3.1,2.8
F1,05/08/00,Stade Rennes,Paris Saint-Germain,1,1,D,1,0,H,2.45,3.05,2.6,2.9,2.9,2.1,,,,2.8,3.25,2.2,2.8,3.1,2.2
F1,05/08/00,Strasbourg,Lille,0,4,A,0,1,A,1.7,3.1,4.4,1.7,3,3.8,,,,1.75,3.25,4.2,1.75,3.2,4
F1,05/08/00,Troyes,Toulouse,1,1,D,1,1,D,2.15,3.2,2.9,1.8,2.9,3.6,,,,1.83,3.2,3.8,2.1,3,3.1
F1,12/08/00,AJ Auxerre,Bastia,1,0,H,1,0,H,1.75,3,3.9,1.75,3.1,3.6,,,,1.7,3.25,4.33,1.66,3.25,4.5
F1,12/08/00,Bordeaux,Troyes,2,2,D,1,1,D,1.38,4,7,1.35,3.8,6.2,,,,1.4,3.75,7,1.4,3.75,7
F1,12/08/00,Guingamp,Nantes,0,1,A,0,1,A,2.4,3,2.75,2.2,2.8,2.8,,,,2.4,3,2.7,2.4,3,2.7
F1,12/08/00,Lille,Stade Rennes,1,0,H,0,0,D,2,3,3.4,2,2.9,3,,,,2.05,3,3.4,2,3.1,3.25
F1,12/08/00,Lyon,Metz,0,0,D,0,0,D,1.6,3.4,5,1.6,3.2,4.2,,,,1.53,3.5,5.5,1.5,3.4,6
F1,12/08/00,Strasbourg,AS Monaco,1,3,A,0,2,A,2.85,2.9,2.15,2.4,2.9,2.4,,,,2.88,3,2.25,2.87,3,2.25
F1,12/08/00,Toulouse,Saint-Etienne,1,1,D,1,1,D,2.5,3,2.6,2.2,2.8,2.8,,,,2.4,3,2.7,2.37,3,2.7
F1,13/08/00,Marseille,Lens,0,0,D,0,0,D,1.71,3.5,4,1.8,3,3.5,,,,1.73,3.25,4.33,1.83,3.2,3.75
F1,13/08/00,Paris Saint-Germain,Sedan,2,1,H,1,1,D,1.41,3.1,9,1.4,3.6,5.5,,,,1.36,4,7,1.4,3.75,7
F1,18/08/00,Bastia,Lyon,2,0,H,0,0,D,1.9,2.9,3.3,2.1,2.9,2.9,,,,2.1,3.1,3.2,2.1,2.9,3.3
F1,19/08/00,Lens,Toulouse,2,1,H,1,1,D,1.5,3.4,6,1.5,3.2,5,,,,1.5,3.5,6.25,1.45,3.6,6.5
F1,19/08/00,Metz,Paris Saint-Germain,1,0,H,0,0,D,3,2.8,2.2,2.45,2.8,2.45,,,,2.8,3.1,2.3,3.1,3,2.15
F1,19/08/00,Nantes,Marseille,3,2,H,1,1,D,2.15,3.1,3,2.1,2.8,3,,,,2.1,3.25,3,2.1,3.1,3.1
F1,19/08/00,Stade Rennes,Strasbourg,3,0,H,1,0,H,1.66,3.15,4.7,1.6,3.2,4.2,,,,1.67,3.3,4.75,1.6,3.3,5
F1,19/08/00,Sedan,Lille,1,0,H,0,0,D,1.3,3.35,3.3,1.9,2.8,3.3,,,,1.91,3.25,3.5,1.9,3.1,3.6
F1,19/08/00,Saint-Etienne,Bordeaux,1,0,H,1,0,H,2.3,3.1,2.6,2.1,2.9,2.9,,,,2.1,3.25,3,2.2,3,3
F1,19/08/00,Troyes,AJ Auxerre,1,0,H,0,0,D,2.35,2.9,2.7,2.3,2.9,2.5,,,,2.4,3.2,2.6,2.5,2.9,2.65
F1,20/08/00,AS Monaco,Guingamp,1,0,H,0,0,D,1.3,4.3,7,1.35,3.8,6.2,,,,1.36,3.75,8.5,1.25,4.5,10
F1,26/08/00,Bordeaux,Lens,1,1,D,0,1,A,1.9,3.25,3.45,1.9,2.9,3.2,,,,2.1,3.1,3.2,2.05,3,3.3
F1,26/08/00,Lille,Metz,2,1,H,0,1,A,1.95,3.2,3.3,2.1,2.9,2.9,,,,2.05,3.2,3.2,2,3.1,3.35
F1,26/08/00,Lyon,Troyes,1,0,H,0,0,D,1.55,3.4,5,1.45,3.5,5,,,,1.5,3.5,6,1.45,3.6,6.5
F1,26/08/00,Marseille,Guingamp,3,1,H,1,0,H,1.4,3.8,6.7,1.45,3.5,5,,,,1.44,3.6,7,1.45,3.6,6.5
F1,26/08/00,Stade Rennes,AS Monaco,1,1,D,1,0,H,2.4,3.05,2.65,2.4,2.9,2.4,,,,2.6,3,2.5,2.7,2.9,2.45
F1,26/08/00,Strasbourg,Sedan,3,2,H,1,1,D,2.45,3.1,2.6,2.1,2.9,2.9,,,,2.5,3,2.6,2.55,2.8,2.7
F1,26/08/00,Toulouse,Nantes,1,1,D,0,1,A,2.45,3.1,2.6,2.7,2.9,2.2,,,,2.75,3,2.3,2.8,3,2.3
F1,27/08/00,AJ Auxerre,Saint-Etienne,4,3,H,0,1,A,1.9,3.1,3.8,1.8,3,3.5,,,,2,3.2,3.3,1.95,3.1,3.5
F1,27/08/00,Paris Saint-Germain,Bastia,3,1,H,2,0,H,1.45,3.65,5.9,1.45,3.5,5,,,,1.44,3.6,7,1.45,3.6,6.5
F1,05/09/00,AS Monaco,Marseille,0,2,A,0,0,D,1.8,3.1,4,1.65,3.1,4,,,,1.75,3.2,4.33,1.75,3.1,4.4
F1,06/09/00,Bastia,Lille,1,0,H,0,0,D,1.66,3.2,4.4,1.7,3.1,3.8,,,,1.73,3.25,4.33,1.7,3.25,4.3
F1,06/09/00,Guingamp,Toulouse,2,1,H,0,1,A,2.15,3,3.1,2.1,2.8,3,,,,2.2,3,3,2,3,3.45
F1,06/09/00,Lens,AJ Auxerre,1,0,H,1,0,H,1.75,3.2,4.1,1.7,3.1,3.8,,,,1.8,3.25,4,1.7,3.2,4.5
F1,06/09/00,Metz,Strasbourg,1,0,H,0,0,D,1.71,3,4.9,1.7,3.1,3.8,,,,1.62,3.3,5,1.7,3.15,4.6
F1,06/09/00,Nantes,Bordeaux,0,5,A,0,2,A,1.95,3.2,3.4,1.9,2.9,3.2,,,,1.9,3.25,3.5,1.9,3.1,3.65
F1,06/09/00,Saint-Etienne,Lyon,2,2,D,1,2,A,2,3,3.45,2.1,2.8,3,,,,2.1,3.2,3.1,2.25,2.8,3.1
F1,06/09/00,Troyes,Paris Saint-Germain,5,3,H,1,2,A,3.1,3,2.15,2.9,2.9,2.1,,,,3,3,2.2,3.15,2.85,2.2
F1,09/09/00,AJ Auxerre,Nantes,2,2,D,0,1,A,1.85,3.1,3.5,1.8,3,3.5,,,,1.83,3.25,3.75,1.83,3.2,3.75
F1,09/09/00,Bordeaux,Guingamp,0,2,A,0,1,A,1.5,3.3,6,1.5,3.2,5,,,,1.44,3.6,7,1.4,3.6,7.5
F1,09/09/00,Lille,Troyes,1,2,A,1,2,A,1.66,3.2,4.5,1.6,3.2,4.2,,,,1.75,3.4,4,1.61,3.5,4.5
