team,GP,W,D,L,F,A,GD,P
FC Cologne,34,19,11,4,53,20,33,68
SC Paderborn ,34,18,8,8,63,48,15,62
SpVgg Greuther Fürth,34,17,9,8,64,38,26,60
Kaiserslautern,34,15,9,10,55,39,16,54
Karlsruher SC,34,12,14,8,47,34,13,50
Fortuna Düsseldorf,34,13,11,10,45,44,1,50
TSV  Munich,34,13,9,12,38,41,-3,48
St Pauli,34,13,9,12,44,49,-5,48
FC Union Berlin,34,11,11,12,48,47,1,44
FC Ingolstadt ,34,11,11,12,34,33,1,44
VfR AalenVfR Aalen,34,11,11,12,36,39,-3,44
SV Sandhausen,34,12,8,14,29,35,-6,44
FSV FrankfurtFSV Frankf.,34,11,8,15,46,51,-5,41
FC Erzgebirge Aue,34,11,8,15,42,54,-12,41
VfL Bochum,34,11,7,16,30,43,-13,40
Arminia Bielefeld,34,9,8,17,40,58,-18,35
Dynamo Dresden,34,5,17,12,36,53,-17,32
Energie Cottbus,34,6,7,21,35,59,-24,25
