team,GP,W,D,L,F,A,GD,P
Karlsruher SC,34,21,7,6,69,41,28,70
Hansa Rostock,34,16,14,4,49,30,19,62
MSV Duisburg,34,16,12,6,66,40,26,60
SC Freiburg,34,17,9,8,55,39,16,60
SpVgg Greuther Fürth,34,16,6,12,53,40,13,54
Kaiserslautern,34,13,14,7,48,34,14,53
FC Augsburg,34,14,10,10,43,32,11,52
TSV  Munich,34,14,6,14,47,49,-2,48
FC Cologne,34,12,10,12,49,50,-1,46
FC Erzgebirge Aue,34,13,6,15,46,48,-2,45
SC Paderborn ,34,11,9,14,32,41,-9,42
TUS KoblenzTUS Koblenz,34,11,8,15,36,45,-9,41
FC Carl Zeiss JenaFC Jena,34,9,11,14,40,56,-16,38
Kickers OffenbachOffenbach,34,9,9,16,42,59,-17,36
SC Rot-Weiß EssenRW Essen,34,8,11,15,34,40,-6,35
SpVgg UnterhachingUnterhaching,34,9,8,17,33,49,-16,35
SV Wacker BurghausenBurghausen,34,7,11,16,42,63,-21,32
TSV Eintracht Braunschweig,34,4,11,19,20,48,-28,23
