team,GP,W,D,L,F,A,GD,P
Hertha Berlin,34,22,10,2,65,28,37,76
TSV Eintracht Braunschweig,34,19,10,5,52,34,18,67
Kaiserslautern,34,15,13,6,55,33,22,58
FSV FrankfurtFSV Frankf.,34,16,6,12,55,45,10,54
FC Cologne,34,14,12,8,43,33,10,54
TSV Munich 1860,34,12,13,9,39,31,8,49
FC Union Berlin,34,13,10,11,50,49,1,49
Energie Cottbus,34,12,12,10,41,36,5,48
VfR AalenVfR Aalen,34,12,10,12,40,39,1,46
St Pauli,34,11,10,13,44,47,-3,43
MSV Duisburg,34,11,10,13,37,49,-12,43
SC Paderborn ,34,11,9,14,45,45,0,42
FC Ingolstadt ,34,10,12,12,36,43,-7,42
VfL Bochum,34,10,8,16,40,52,-12,38
FC Erzgebirge Aue,34,9,10,15,39,46,-7,37
Dynamo Dresden,34,9,10,15,35,49,-14,37
SV Sandhausen,34,6,8,20,38,66,-28,26
SSV Jahn RegensburgJ,34,4,7,23,36,65,-29,19
