team,GP,W,D,L,F,A,GD,P
Fortuna Düsseldorf,22,13,4,5,34,25,9,43
Nurnberg,22,12,5,5,43,26,17,41
Holstein Kiel,22,9,9,4,41,29,12,36
MSV Duisburg,22,9,7,6,34,32,2,34
FC Ingolstadt ,22,9,6,7,32,23,9,33
SSV Jahn RegensburgJ,22,10,3,9,35,30,5,33
SV Sandhausen,22,9,5,8,25,19,6,32
FC Union Berlin,22,8,7,7,39,31,8,31
Arminia Bielefeld,22,8,7,7,34,32,2,31
. FC Heidenheim,22,8,5,9,33,39,-6,29
St Pauli,22,7,7,8,22,34,-12,28
TSV Eintracht Braunschweig,22,5,11,6,26,24,2,26
Dynamo Dresden,22,7,5,10,29,33,-4,26
VfL Bochum,22,7,5,10,20,27,-7,26
FC Erzgebirge Aue,22,6,6,10,21,34,-13,24
SpVgg Greuther Fürth,22,6,5,11,22,33,-11,23
SV Darmstadt ,21,5,7,9,31,35,-4,22
Kaiserslautern,21,4,6,11,20,35,-15,18
