team,GP,W,D,L,F,A,GD,P
SC Freiburg,34,22,6,6,75,39,36,72
RB Leipzig,34,20,7,7,54,32,22,67
Nurnberg,34,19,8,7,68,41,27,65
St Pauli,34,15,8,11,45,39,6,53
VfL Bochum,34,13,12,9,56,40,16,51
FC Union Berlin,34,13,10,11,56,50,6,49
Karlsruher SC,34,12,11,11,35,37,-2,47
TSV Eintracht Braunschweig,34,12,10,12,44,38,6,46
SpVgg Greuther Furth,34,13,7,14,49,55,-6,46
Kaiserslautern,34,12,9,13,49,47,2,45
. FC Heidenheim,34,11,12,11,42,40,2,45
Arminia Bielefeld,34,8,18,8,38,39,-1,42
SV Sandhausen,34,12,7,15,40,50,-10,40
Fortuna DüsseldorfF,34,9,8,17,32,47,-15,35
TSV  Munich,34,8,10,16,32,46,-14,34
MSV Duisburg,34,7,11,16,32,54,-22,32
FSV FrankfurtFSV Frankf.,34,8,8,18,33,59,-26,32
SC Paderborn ,34,6,10,18,28,55,-27,28
