team,GP,W,D,L,F,A,GD,P
VfB Stuttgart,34,21,6,7,63,37,26,69
Hannover ,34,19,10,5,51,32,19,67
TSV Eintracht Braunschweig,34,19,9,6,50,36,14,66
FC Union Berlin,34,18,6,10,51,39,12,60
Dynamo Dresden,34,13,11,10,53,46,7,50
. FC Heidenheim,34,12,10,12,43,39,4,46
St Pauli,34,12,9,13,39,35,4,45
SpVgg Greuther Fürth,34,12,9,13,33,40,-7,45
VfL Bochum,34,10,14,10,42,47,-5,44
SV Sandhausen,34,10,12,12,41,36,5,42
Fortuna Düsseldorf,34,10,12,12,37,39,-2,42
Nurnberg,34,12,6,16,46,52,-6,42
Kaiserslautern,34,10,11,13,29,33,-4,41
FC Erzgebirge Aue,34,10,9,15,37,52,-15,39
Arminia Bielefeld,34,8,13,13,50,54,-4,37
TSV  Munich,34,10,6,18,37,47,-10,36
Würzburger Kickers,34,7,13,14,32,41,-9,34
Karlsruher SC,34,5,10,19,27,56,-29,25
