team,GP,W,D,L,F,A,GD,P
Borussia Monchengladbach,34,18,12,4,71,38,33,66
TSG Hoffenheim,34,17,9,8,60,40,20,60
FC Cologne,34,17,9,8,62,44,18,60
Mainz,34,16,10,8,62,36,26,58
SC Freiburg,34,15,10,9,49,44,5,55
SpVgg Greuther Fürth,34,14,10,10,53,47,6,52
Alemannia AachenAachen,34,14,9,11,49,44,5,51
TUS KoblenzTUS Koblenz,34,12,11,11,46,47,-1,47
SV Wehen Wiesbaden,34,11,11,12,47,53,-6,44
St Pauli,34,11,9,14,47,53,-6,42
TSV  Munich,34,9,14,11,42,45,-3,41
VfL Osnabruck,34,10,10,14,43,54,-11,40
Kaiserslautern,34,9,12,13,37,37,0,39
FC Augsburg,34,10,8,16,39,51,-12,38
Kickers OffenbachOffenbach,34,9,11,14,38,60,-22,38
FC Erzgebirge Aue,34,7,11,16,49,57,-8,32
SC Paderborn ,34,6,13,15,33,54,-21,31
FC Carl Zeiss JenaFC Jena,34,6,11,17,45,68,-23,29
