team,GP,W,D,L,F,A,GD,P
FC Ingolstadt ,34,17,13,4,53,32,21,64
SV Darmstadt ,34,15,14,5,44,26,18,59
Karlsruher SC,34,15,13,6,46,26,20,58
Kaiserslautern,34,14,14,6,45,31,14,56
RB Leipzig,34,13,11,10,39,31,8,50
TSV Eintracht Braunschweig,34,15,5,14,44,41,3,50
FC Union Berlin,34,12,11,11,46,51,-5,47
. FC Heidenheim,34,12,10,12,49,44,5,46
Nurnberg,34,13,6,15,42,47,-5,45
Fortuna Düsseldorf,34,11,11,12,48,52,-4,44
VfL Bochum,34,9,15,10,53,55,-2,42
SV Sandhausen,34,10,12,12,32,37,-5,39
FSV FrankfurtFSV Frankf.,34,10,9,15,41,53,-12,39
SpVgg Greuther Fürth,34,8,13,13,34,42,-8,37
St Pauli,34,10,7,17,40,51,-11,37
TSV Munich 1860,34,9,9,16,41,51,-10,36
FC Erzgebirge Aue,34,9,9,16,32,47,-15,36
VfR AalenVfR Aalen,34,7,12,15,34,46,-12,31
