team,GP,W,D,L,F,A,GD,P
Bayern Munich,34,24,5,5,75,33,42,77
Schalke ,34,20,3,11,56,46,10,63
Werder Bremen,34,18,5,11,68,37,31,59
Hertha Berlin,34,15,13,6,59,31,28,58
VfB Stuttgart,34,17,7,10,54,40,14,58
Bayer Leverkusen,34,16,9,9,65,44,21,57
Borussia Dortmund,34,15,10,9,47,44,3,55
Hamburg SV,34,16,3,15,55,50,5,51
VfL Wolfsburg,34,15,3,16,49,51,-2,48
Hannover ,34,13,6,15,34,36,-2,45
Mainz,34,12,7,15,50,55,-5,43
Kaiserslautern,34,12,6,16,43,52,-9,42
Arminia Bielefeld,34,11,7,16,37,49,-12,40
Nurnberg,34,10,8,16,55,63,-8,38
Borussia Monchengladbach,34,8,12,14,35,51,-16,36
VfL Bochum,34,9,8,17,47,68,-21,35
Hansa Rostock,34,7,9,18,31,65,-34,30
SC Freiburg,34,3,9,22,30,75,-45,18
