team,GP,W,D,L,F,A,GD,P
Bayern Munich,34,23,6,5,70,25,45,75
VfB Stuttgart,34,17,8,9,53,39,14,59
Borussia Dortmund,34,15,13,6,51,27,24,58
Hamburg SV,34,15,11,8,46,36,10,56
Hertha Berlin,34,16,6,12,52,43,9,54
Werder Bremen,34,16,4,14,51,50,1,52
Schalke ,34,12,13,9,46,40,6,49
VfL Wolfsburg,34,13,7,14,39,42,-3,46
VfL Bochum,34,12,9,13,55,56,-1,45
TSV  Munich,34,12,9,13,44,52,-8,45
Hannover ,34,12,7,15,47,57,-10,43
Borussia Monchengladbach,34,11,9,14,43,45,-2,42
Hansa RostockRostock,34,11,8,15,35,41,-6,41
Kaiserslautern,34,10,10,14,40,42,-2,40
Bayer Leverkusen,34,11,7,16,47,56,-9,40
Arminia Bielefeld,34,8,12,14,35,46,-11,36
Nurnberg,34,8,6,20,33,60,-27,30
Energie CottbusCottbus,34,7,9,18,34,64,-30,30
