team,GP,W,D,L,F,A,GD,P
SpVgg Greuther Fürth,34,20,10,4,73,27,46,70
Eintracht Frankfurt,34,20,8,6,76,33,43,68
Fortuna Düsseldorf,34,16,14,4,64,35,29,62
St Pauli,34,18,8,8,59,34,25,62
SC Paderborn ,34,17,10,7,51,42,9,61
TSV Munich 1860,34,17,6,11,62,46,16,57
FC Union Berlin,34,14,6,14,55,58,-3,48
TSV Eintracht Braunschweig,34,10,15,9,37,35,2,45
Dynamo Dresden,34,12,9,13,50,52,-2,45
MSV Duisburg,34,10,9,15,42,47,-5,39
VfL Bochum,34,10,7,17,41,55,-14,37
FC Ingolstadt ,34,8,13,13,43,58,-15,37
FSV FrankfurtFSV Frankf.,34,7,14,13,43,59,-16,35
Energie Cottbus,34,8,11,15,30,49,-19,35
FC Erzgebirge Aue,34,8,11,15,31,55,-24,35
Karlsruher SC,34,9,6,19,34,60,-26,33
Alemannia AachenAachen,34,6,13,15,30,47,-17,31
Hansa Rostock,34,5,12,17,34,63,-29,27
