team,GP,W,D,L,F,A,GD,P
Bayern Munich,34,25,4,5,80,18,62,79
VfL Wolfsburg,34,20,9,5,72,38,34,69
Borussia Monchengladbach,34,19,9,6,53,26,27,66
Bayer Leverkusen,34,17,10,7,62,37,25,61
FC Augsburg,34,15,4,15,43,43,0,49
Schalke ,34,13,9,12,42,40,2,48
Borussia Dortmund,34,13,7,14,47,42,5,46
TSG Hoffenheim,34,12,8,14,49,55,-6,44
Eintracht Frankfurt,34,11,10,13,56,62,-6,43
Werder Bremen,34,11,10,13,50,65,-15,43
Mainz,34,9,13,12,45,47,-2,40
FC Cologne,34,9,13,12,34,40,-6,40
Hannover ,34,9,10,15,40,56,-16,37
VfB Stuttgart,34,9,9,16,42,60,-18,36
Hertha Berlin,34,9,8,17,36,52,-16,35
Hamburg SV,34,9,8,17,25,50,-25,35
SC Freiburg,34,7,13,14,36,47,-11,34
SC Paderborn ,34,7,10,17,31,65,-34,31
