team,GP,W,D,L,F,A,GD,P
FC Cologne,11,6,3,2,24,16,8,21
Hamburg SV,11,6,3,2,13,11,2,21
SpVgg Greuther Furth,11,5,4,2,16,12,4,19
St Pauli,10,6,1,3,16,15,1,19
FC Union Berlin,10,4,6,0,14,7,7,18
SC Paderborn ,11,4,5,2,22,18,4,17
. FC Heidenheim,11,4,4,3,18,13,5,16
VfL Bochum,10,4,3,3,16,10,6,15
SSV Jahn RegensburgJ,10,4,3,3,17,14,3,15
Dynamo Dresden,10,4,2,4,13,11,2,14
SV Darmstadt ,11,4,2,5,14,16,-2,14
FC Erzgebirge Aue,11,4,2,5,12,14,-2,14
Holstein Kiel,10,3,4,3,15,15,0,13
Arminia Bielefeld,11,3,3,5,14,18,-4,12
. FC Magdeburg,11,1,6,4,13,18,-5,9
SV Sandhausen,11,2,3,6,12,17,-5,9
MSV Duisburg,10,1,2,7,9,19,-10,5
FC Ingolstadt ,10,1,2,7,9,23,-14,5
