team,GP,W,D,L,F,A,GD,P
Borussia Dortmund,34,23,6,5,67,22,45,75
Bayer Leverkusen,34,20,8,6,64,44,20,68
Bayern Munich,34,19,8,7,81,40,41,65
Hannover ,34,19,3,12,49,45,4,60
Mainz,34,18,4,12,52,39,13,58
Nurnberg,34,13,8,13,47,45,2,47
Kaiserslautern,34,13,7,14,48,51,-3,46
Hamburg SV,34,12,9,13,46,52,-6,45
SC Freiburg,34,13,5,16,41,50,-9,44
FC Cologne,34,13,5,16,47,62,-15,44
TSG Hoffenheim,34,11,10,13,50,50,0,43
VfB Stuttgart,34,12,6,16,60,59,1,42
Werder Bremen,34,10,11,13,47,61,-14,41
Schalke 04 ,34,11,7,16,38,44,-6,40
VfL Wolfsburg,34,9,11,14,43,48,-5,38
Borussia Monchengladbach,34,10,6,18,48,65,-17,36
Eintracht Frankfurt,34,9,7,18,31,49,-18,34
St Pauli,34,8,5,21,35,68,-33,29
