team,GP,W,D,L,F,A,GD,P
Wolverhampton Wanderers,46,30,9,7,82,39,43,99
Cardiff City,46,27,9,10,69,39,30,90
Fulham,46,25,13,8,79,46,33,88
Aston Villa,46,24,11,11,72,42,30,83
Middlesbrough,46,22,10,14,67,45,22,76
Derby County,46,20,15,11,70,48,22,75
Preston North End,46,19,16,11,57,46,11,73
Millwall,46,19,15,12,56,45,11,72
Brentford,46,18,15,13,62,52,10,69
Sheffield UnitedS,46,20,9,17,62,55,7,69
Bristol City,46,17,16,13,67,58,9,67
Ipswich Town,46,17,9,20,57,60,-3,60
Leeds United,46,17,9,20,59,64,-5,60
Norwich City,46,15,15,16,49,60,-11,60
Sheffield WednesdayS,46,14,15,17,59,60,-1,57
Queens Park Rangers,46,15,11,20,58,70,-12,56
Nottingham Forest,46,15,8,23,51,65,-14,53
Hull City,46,11,16,19,70,70,0,49
Birmingham City,46,13,7,26,38,68,-30,46
Reading,46,10,14,22,48,70,-22,44
Bolton Wanderers,46,10,13,23,39,74,-35,43
Barnsley,46,9,14,23,48,72,-24,41
Burton Albion,46,10,11,25,38,81,-43,41
Sunderland,46,7,16,23,52,80,-28,37
