Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
D1,13/08/99,MSV Duisburg,Bayer Leverkusen,0,0,D,0,0,D,,,,,,,,,,,
D1,13/08/99,VfL Wolfsburg,TSV Munich 1860,2,1,H,0,1,A,,,,,,,,,,,
D1,14/08/99,Bayern Munich,Hamburg SV,2,2,D,1,1,D,,,,,,,,,,,
D1,14/08/99,Eintracht Frankfurt,Unterhaching,3,0,H,1,0,H,,,,,,,,,,,
D1,14/08/99,Kaiserslautern,Borussia Dortmund,1,0,H,0,0,D,,,,,,,,,,,
D1,14/08/99,Schalke 04,Arminia Bielefeld,1,1,D,1,0,H,,,,,,,,,,,
D1,14/08/99,VfB Stuttgart,Werder Bremen,0,0,D,0,0,D,,,,,,,,,,,
D1,15/08/99,Hertha Berlin,Hansa Rostock,5,2,H,2,1,H,,,,,,,,,,,
D1,15/08/99,Ulm,SC Freiburg,1,1,D,0,1,A,,,,,,,,,,,
D1,20/08/99,Arminia Bielefeld,Hertha Berlin,1,1,D,0,0,D,,,,,,,,,,,
D1,20/08/99,Unterhaching,MSV Duisburg,2,0,H,0,0,D,,,,,,,,,,,
D1,21/08/99,Borussia Dortmund,VfL Wolfsburg,2,1,H,0,0,D,,,,,,,,,,,
D1,21/08/99,SC Freiburg,Eintracht Frankfurt,2,3,A,1,0,H,,,,,,,,,,,
D1,21/08/99,Hamburg SV,VfB Stuttgart,3,0,H,1,0,H,,,,,,,,,,,
D1,21/08/99,TSV Munich 1860,Ulm,4,1,H,4,1,H,,,,,,,,,,,
D1,21/08/99,Werder Bremen,Schalke 04,0,1,A,0,0,D,,,,,,,,,,,
D1,22/08/99,Hansa Rostock,Kaiserslautern,4,2,H,4,2,H,,,,,,,,,,,
D1,22/08/99,Bayer Leverkusen,Bayern Munich,2,0,H,0,0,D,,,,,,,,,,,
D1,27/08/99,Kaiserslautern,Arminia Bielefeld,0,2,A,0,0,D,,,,,,,,,,,
D1,27/08/99,Schalke 04,Hamburg SV,1,3,A,1,1,D,,,,,,,,,,,
D1,28/08/99,Bayern Munich,Unterhaching,1,0,H,1,0,H,,,,,,,,,,,
D1,28/08/99,SC Freiburg,TSV Munich 1860,3,0,H,1,0,H,,,,,,,,,,,
D1,28/08/99,Hertha Berlin,Werder Bremen,1,1,D,1,0,H,,,,,,,,,,,
D1,28/08/99,VfB Stuttgart,Bayer Leverkusen,1,2,A,1,1,D,,,,,,,,,,,
D1,28/08/99,VfL Wolfsburg,Hansa Rostock,2,0,H,2,0,H,,,,,,,,,,,
D1,29/08/99,Eintracht Frankfurt,MSV Duisburg,2,2,D,1,1,D,,,,,,,,,,,
D1,29/08/99,Ulm,Borussia Dortmund,0,1,A,0,1,A,,,,,,,,,,,
D1,10/09/99,Arminia Bielefeld,VfL Wolfsburg,0,0,D,0,0,D,,,,,,,,,,,
D1,10/09/99,Hansa Rostock,Ulm,2,1,H,1,0,H,,,,,,,,,,,
D1,11/09/99,Borussia Dortmund,SC Freiburg,1,1,D,0,1,A,,,,,,,,,,,
D1,11/09/99,MSV Duisburg,Bayern Munich,1,2,A,0,2,A,,,,,,,,,,,
D1,11/09/99,Hamburg SV,Hertha Berlin,5,1,H,3,0,H,,,,,,,,,,,
D1,11/09/99,Bayer Leverkusen,Schalke 04,3,2,H,0,1,A,,,,,,,,,,,
D1,11/09/99,Unterhaching,VfB Stuttgart,2,0,H,1,0,H,,,,,,,,,,,
D1,12/09/99,TSV Munich 1860,Eintracht Frankfurt,2,0,H,1,0,H,,,,,,,,,,,
D1,12/09/99,Werder Bremen,Kaiserslautern,5,0,H,2,0,H,,,,,,,,,,,
D1,17/09/99,SC Freiburg,Hansa Rostock,5,0,H,4,0,H,,,,,,,,,,,
D1,17/09/99,TSV Munich 1860,Borussia Dortmund,0,3,A,0,2,A,,,,,,,,,,,
D1,18/09/99,Eintracht Frankfurt,Bayern Munich,1,2,A,1,0,H,,,,,,,,,,,
D1,18/09/99,Hertha Berlin,Bayer Leverkusen,0,0,D,0,0,D,,,,,,,,,,,
D1,18/09/99,Schalke 04,Unterhaching,1,0,H,0,0,D,,,,,,,,,,,
D1,18/09/99,VfB Stuttgart,MSV Duisburg,4,2,H,2,1,H,,,,,,,,,,,
D1,18/09/99,Ulm,Arminia Bielefeld,2,0,H,2,0,H,,,,,,,,,,,
D1,19/09/99,Kaiserslautern,Hamburg SV,2,0,H,2,0,H,,,,,,,,,,,
D1,19/09/99,VfL Wolfsburg,Werder Bremen,2,7,A,2,3,A,,,,,,,,,,,
D1,24/09/99,Bayern Munich,VfB Stuttgart,0,1,A,0,0,D,,,,,,,,,,,
D1,24/09/99,Hamburg SV,VfL Wolfsburg,2,2,D,1,1,D,,,,,,,,,,,
D1,25/09/99,Borussia Dortmund,Eintracht Frankfurt,1,0,H,1,0,H,,,,,,,,,,,
D1,25/09/99,MSV Duisburg,Schalke 04,1,1,D,0,0,D,,,,,,,,,,,
D1,25/09/99,Hansa Rostock,TSV Munich 1860,0,0,D,0,0,D,,,,,,,,,,,
D1,25/09/99,Unterhaching,Hertha Berlin,1,1,D,0,1,A,,,,,,,,,,,
D1,25/09/99,Werder Bremen,Ulm,2,2,D,1,0,H,,,,,,,,,,,
D1,26/09/99,Arminia Bielefeld,SC Freiburg,2,1,H,0,1,A,,,,,,,,,,,
D1,26/09/99,Bayer Leverkusen,Kaiserslautern,3,1,H,0,1,A,,,,,,,,,,,
D1,01/10/99,Eintracht Frankfurt,VfB Stuttgart,0,1,A,0,0,D,,,,,,,,,,,
D1,01/10/99,TSV Munich 1860,Arminia Bielefeld,5,0,H,1,0,H,,,,,,,,,,,
D1,02/10/99,Borussia Dortmund,Hansa Rostock,3,0,H,0,0,D,,,,,,,,,,,
D1,02/10/99,Hertha Berlin,MSV Duisburg,2,1,H,0,0,D,,,,,,,,,,,
D1,02/10/99,Schalke 04,Bayern Munich,1,1,D,0,0,D,,,,,,,,,,,
D1,02/10/99,Ulm,Hamburg SV,1,2,A,0,0,D,,,,,,,,,,,
D1,02/10/99,VfL Wolfsburg,Bayer Leverkusen,3,1,H,1,0,H,,,,,,,,,,,
D1,03/10/99,SC Freiburg,Werder Bremen,2,1,H,1,0,H,,,,,,,,,,,
D1,03/10/99,Kaiserslautern,Unterhaching,4,2,H,1,1,D,,,,,,,,,,,
D1,15/10/99,Arminia Bielefeld,Borussia Dortmund,0,2,A,0,0,D,,,,,,,,,,,
