team,GP,W,D,L,F,A,GD,P
Kaiserslautern,34,19,10,5,56,28,28,67
St Pauli,34,20,4,10,72,37,35,64
FC Augsburg,34,17,11,6,60,40,20,62
Fortuna DüsseldorfF,34,17,8,9,48,31,17,59
SC Paderborn ,34,14,9,11,49,49,0,51
MSV Duisburg,34,14,8,12,51,46,5,50
Arminia Bielefeld,34,16,5,13,48,41,7,49
TSV  Munich,34,14,6,14,43,45,-2,48
Energie CottbusCottbus,34,13,8,13,55,49,6,47
Karlsruher SC,34,13,7,14,43,45,-2,46
SpVgg Greuther Furth,34,12,8,14,51,50,1,44
FC Union Berlin,34,11,11,12,42,45,-3,44
Alemannia Aachen,34,11,10,13,37,41,-4,43
RW OberhausenOberhausen,34,12,5,17,38,52,-14,41
FSV FrankfurtFSV Frankf.,34,9,11,14,29,50,-21,38
Hansa Rostock,34,10,6,18,33,45,-12,36
TUS KoblenzTUS Koblenz,34,7,10,17,35,60,-25,31
AhlenAhlen,34,5,7,22,19,55,-36,22
