team,GP,W,D,L,F,A,GD,P
Bayern Munich,34,27,3,4,92,28,64,84
Schalke ,34,18,9,7,53,37,16,63
TSG Hoffenheim,34,15,10,9,66,48,18,55
Borussia Dortmund,34,15,10,9,64,47,17,55
Bayer Leverkusen,34,15,10,9,58,44,14,55
RB Leipzig,34,15,8,11,57,53,4,53
VfB Stuttgart,34,15,6,13,36,36,0,51
Eintracht Frankfurt,34,14,7,13,45,45,0,49
Borussia Monchengladbach,34,13,8,13,47,52,-5,47
Hertha Berlin,34,10,13,11,43,46,-3,43
Werder Bremen,34,10,12,12,37,40,-3,42
FC Augsburg,34,10,11,13,43,46,-3,41
Hannover ,34,10,9,15,44,54,-10,39
Mainz,34,9,9,16,38,52,-14,36
SC Freiburg,34,8,12,14,32,56,-24,36
VfL Wolfsburg,34,6,15,13,36,48,-12,33
Hamburg SV,34,8,7,19,29,53,-24,31
FC Cologne,34,5,7,22,35,70,-35,22
