team,GP,W,D,L,F,A,GD,P
Fortuna DüsseldorfF,34,19,6,9,57,44,13,63
Nurnberg,34,17,9,8,61,39,22,60
Holstein Kiel,34,14,14,6,71,44,27,56
Arminia Bielefeld,34,12,12,10,51,47,4,48
SSV Jahn RegensburgJ,34,14,6,14,53,53,0,48
VfL Bochum,34,13,9,12,37,40,-3,48
MSV Duisburg,34,13,9,12,52,56,-4,48
FC Union Berlin,34,12,11,11,54,46,8,47
FC Ingolstadt ,34,12,9,13,47,45,2,45
SV Darmstadt ,34,10,13,11,47,45,2,43
SV Sandhausen,34,11,10,13,35,33,2,43
St Pauli,34,11,10,13,35,48,-13,43
. FC Heidenheim,34,11,9,14,50,56,-6,42
Dynamo Dresden,34,11,8,15,42,52,-10,41
SpVgg Greuther Furth,34,10,10,14,37,48,-11,40
FC Erzgebirge Aue,34,10,10,14,35,49,-14,40
TSV Eintracht Braunschweig,34,8,15,11,37,43,-6,39
Kaiserslautern,34,9,8,17,42,55,-13,35
