team,GP,W,D,L,F,A,GD,P
Hertha Berlin,34,23,5,6,69,28,41,74
FC Augsburg,34,19,8,7,58,27,31,65
VfL Bochum,34,20,5,9,49,35,14,65
SpVgg Greuther Furth,34,17,10,7,47,27,20,61
FC Erzgebirge Aue,34,16,8,10,40,37,3,56
Energie CottbusCottbus,34,16,7,11,65,52,13,55
Fortuna DüsseldorfF,34,16,5,13,49,39,10,53
MSV Duisburg,34,15,7,12,53,38,15,52
TSV  Munich,34,14,10,10,50,36,14,50
Alemannia Aachen,34,13,9,12,58,60,-2,48
FC Union Berlin,34,11,9,14,39,45,-6,42
SC Paderborn ,34,10,9,15,32,47,-15,39
FSV FrankfurtFSV Frankf.,34,11,5,18,42,54,-12,38
FC Ingolstadt ,34,9,10,15,40,46,-6,37
Karlsruher SC,34,8,9,17,46,72,-26,33
VfL Osnabruck,34,8,7,19,40,62,-22,31
RW OberhausenOberhausen,34,7,7,20,30,65,-35,28
Arminia Bielefeld,34,4,8,22,28,65,-37,17
