team,GP,W,D,L,F,A,GD,P
SC Freiburg,34,21,5,8,60,36,24,68
Mainz,34,18,9,7,62,37,25,63
Nurnberg,34,16,12,6,51,29,22,60
Alemannia Aachen,34,16,8,10,58,38,20,56
SpVgg Greuther Furth,34,16,8,10,60,46,14,56
MSV Duisburg,34,14,13,7,56,36,20,55
Kaiserslautern,34,15,7,12,53,48,5,52
St Pauli,34,14,6,14,52,59,-7,48
RW OberhausenOberhausen,34,11,9,14,35,54,-19,42
AhlenAhlen,34,11,8,15,38,57,-19,41
FC Augsburg,34,10,10,14,43,46,-3,40
TSV  Munich,34,9,12,13,44,46,-2,39
Hansa Rostock,34,8,14,12,52,53,-1,38
TUS KoblenzTUS Koblenz,34,11,8,15,47,57,-10,38
FSV FrankfurtFSV Frankf.,34,9,11,14,34,47,-13,38
VfL Osnabruck,34,8,12,14,41,60,-19,36
FC Ingolstadt ,34,7,10,17,38,54,-16,31
SV Wehen Wiesbaden,34,5,12,17,28,49,-21,27
