team,GP,W,D,L,F,A,GD,P
Strasbourg,38,19,10,9,63,47,16,67
SC Amiens,38,19,9,10,56,38,18,66
Troyes,38,19,9,10,59,43,16,66
Lens,38,18,11,9,59,40,19,65
Brest,38,19,8,11,58,44,14,65
NimesN,38,17,13,8,58,40,18,64
Stade de Reims,38,14,13,11,42,39,3,55
Le Havre AC,38,14,12,12,39,31,8,54
GFC Ajaccio,38,13,12,13,47,51,-4,51
Niort,38,12,13,13,45,57,-12,49
AC Ajaccio,38,13,9,16,47,58,-11,48
Clermont FootC,38,11,13,14,46,48,-2,46
Sochaux,38,11,13,14,38,43,-5,46
Valenciennes,38,10,15,13,44,44,0,45
Bourg-PeronnasF,38,11,11,16,49,58,-9,44
ToursT,38,10,13,15,55,60,-5,43
AJ Auxerre,38,11,10,17,28,40,-12,43
Orléans,38,11,9,18,41,54,-13,38
Red Star FC R,38,8,12,18,36,56,-20,36
Stade LavalS,38,5,15,18,33,52,-19,30
