team,GP,W,D,L,F,A,GD,P
AS Monaco,38,21,13,4,64,33,31,76
Guingamp,38,20,10,8,63,38,25,70
Nantes,38,19,12,7,54,29,25,69
Caen,38,17,12,9,48,28,20,63
Angers,38,17,10,11,52,39,13,61
Le Havre AC,38,16,11,11,52,47,5,59
Dijon FCO,38,15,14,9,52,49,3,59
NimesN,38,17,7,14,52,42,10,58
AJ Auxerre,38,13,10,15,51,53,-2,49
ToursT,38,12,13,13,40,49,-9,49
Arles,38,10,16,12,36,48,-12,46
Lens,38,9,18,11,39,53,-14,45
FC Istres,38,11,10,17,38,45,-7,43
Clermont FootC,38,9,16,13,33,47,-14,43
ChateaurouxC,38,8,18,12,43,47,-4,42
Stade LavalS,38,10,12,16,47,54,-7,42
Niort,37,8,17,12,37,40,-3,41
Le Mans,38,11,7,20,39,62,-23,40
Sedan,38,6,13,19,41,58,-17,31
GFC Ajaccio,37,6,9,22,32,52,-20,27
