team,GP,W,D,L,F,A,GD,P
Stade de Reims,25,18,3,4,44,13,31,57
NimesN,25,14,3,8,47,24,23,45
AC Ajaccio,25,13,6,6,41,27,14,45
Paris FC,25,12,9,4,30,21,9,45
Le Havre AC,25,12,7,6,34,21,13,43
Clermont FootC,25,11,8,6,32,20,12,41
Lorient,25,11,8,6,41,30,11,41
ChateaurouxC,25,12,5,8,34,33,1,41
Sochaux,25,12,4,9,35,38,-3,40
Brest,25,10,8,7,35,30,5,38
Orléans,25,9,6,10,34,37,-3,33
AJ Auxerre,25,8,7,10,29,32,-3,31
Valenciennes,25,8,6,11,31,40,-9,30
GFC Ajaccio,25,8,6,11,20,34,-14,30
Niort,25,8,5,12,29,37,-8,29
Lens,25,7,6,12,31,28,3,27
AS Nancy Lorraine,25,5,10,10,26,34,-8,25
US QuevillyU,25,6,4,15,27,42,-15,22
Bourg-PeronnasF,25,6,2,17,30,56,-26,20
ToursT,25,2,3,20,14,47,-33,9
