team,GP,W,D,L,F,A,GD,P
AS Nancy Lorraine,38,21,11,6,60,32,28,74
Dijon FCO,38,20,10,8,62,36,26,70
Metz,38,19,8,11,54,39,15,65
Le Havre AC,38,19,8,11,52,37,15,65
Red Star FC R,38,18,10,10,43,38,5,64
Lens,38,15,13,10,39,35,4,58
Clermont FootC,38,16,10,12,56,53,3,58
AJ Auxerre,38,15,10,13,47,46,1,55
ToursT,38,11,14,13,36,41,-5,47
Brest,38,12,11,15,34,41,-7,47
Bourg-PeronnasF,38,13,8,17,47,59,-12,47
Valenciennes,38,10,14,14,39,43,-4,44
Stade LavalS,38,9,17,12,35,42,-7,44
NimesN,38,13,12,13,50,52,-2,43
Sochaux,38,9,15,14,34,36,-2,42
Niort,38,8,18,12,38,45,-7,42
AC Ajaccio,38,9,15,14,34,42,-8,42
Evian Thonon Gaillard,38,9,12,17,41,41,0,39
CréteilCréteil,38,8,10,20,42,66,-24,34
Paris FC,38,4,18,16,32,51,-19,30
