Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
E1,08/08/98,Barnsley,West Bromwich Albion,2,2,D,1,2,A
E1,08/08/98,Bradford,Stockport,1,2,A,0,1,A
E1,08/08/98,Bristol City,Oxford,2,2,D,2,1,H
E1,08/08/98,Bury,Huddersfield Town,1,0,H,1,0,H
E1,08/08/98,Crystal Palace,Bolton Wanderers,2,2,D,0,1,A
E1,08/08/98,Norwich City,Crewe,2,1,H,2,1,H
E1,08/08/98,Port Vale,Birmingham City,0,2,A,0,1,A
E1,08/08/98,Portsmouth,Watford,1,2,A,1,0,H
E1,08/08/98,Sheffield United,Swindon,2,1,H,1,0,H
E1,08/08/98,Sunderland,Queens Park Rangers,1,0,H,0,0,D
E1,08/08/98,Wolverhampton Wanderers,Tranmere,2,0,H,1,0,H
E1,09/08/98,Grimsby,Ipswich,0,0,D,0,0,D
E1,15/08/98,Bolton Wanderers,Grimsby,2,0,H,0,0,D
E1,15/08/98,Crewe,Barnsley,3,1,H,1,0,H
E1,15/08/98,Huddersfield Town,Port Vale,2,1,H,1,0,H
E1,15/08/98,Ipswich,Bury,0,0,D,0,0,D
E1,15/08/98,Oxford,Wolverhampton Wanderers,0,2,A,0,1,A
E1,15/08/98,Queens Park Rangers,Bristol City,1,1,D,0,1,A
E1,15/08/98,Stockport,Norwich City,0,2,A,0,1,A
E1,15/08/98,Swindon,Sunderland,1,1,D,1,0,H
E1,15/08/98,Tranmere,Portsmouth,1,1,D,1,1,D
E1,15/08/98,Watford,Bradford,1,0,H,0,0,D
E1,15/08/98,West Bromwich Albion,Sheffield United,4,1,H,2,1,H
E1,16/08/98,Birmingham City,Crystal Palace,3,1,H,2,0,H
E1,21/08/98,Barnsley,Stockport,1,1,D,1,0,H
E1,22/08/98,Bristol City,Watford,1,4,A,0,1,A
E1,22/08/98,Bury,Crewe,1,0,H,1,0,H
E1,22/08/98,Crystal Palace,Oxford,2,0,H,2,0,H
E1,22/08/98,Grimsby,Huddersfield Town,1,0,H,0,0,D
E1,22/08/98,Norwich City,Queens Park Rangers,4,2,H,3,2,H
E1,22/08/98,Port Vale,West Bromwich Albion,0,3,A,0,0,D
E1,22/08/98,Portsmouth,Ipswich,0,0,D,0,0,D
E1,22/08/98,Sheffield United,Birmingham City,0,2,A,0,0,D
E1,22/08/98,Sunderland,Tranmere,5,0,H,2,0,H
E1,22/08/98,Wolverhampton Wanderers,Swindon,1,0,H,1,0,H
E1,23/08/98,Bradford,Bolton Wanderers,2,2,D,1,1,D
E1,25/08/98,Sunderland,Watford,4,1,H,3,1,H
E1,28/08/98,Crewe,Bradford,2,1,H,2,1,H
E1,28/08/98,Watford,Wolverhampton Wanderers,0,2,A,0,1,A
E1,29/08/98,Birmingham City,Barnsley,0,0,D,0,0,D
E1,29/08/98,Bolton Wanderers,Sheffield United,2,2,D,2,0,H
E1,29/08/98,Huddersfield Town,Portsmouth,3,3,D,1,1,D
E1,29/08/98,Ipswich,Sunderland,0,2,A,0,2,A
E1,29/08/98,Oxford,Grimsby,0,0,D,0,0,D
E1,29/08/98,Queens Park Rangers,Bury,0,0,D,0,0,D
E1,29/08/98,Stockport,Crystal Palace,1,1,D,0,1,A
E1,29/08/98,Swindon,Port Vale,1,1,D,0,1,A
E1,29/08/98,Tranmere,Bristol City,1,1,D,1,1,D
E1,29/08/98,West Bromwich Albion,Norwich City,2,0,H,0,0,D
E1,31/08/98,Barnsley,Oxford,1,0,H,1,0,H
E1,31/08/98,Bradford,Birmingham City,2,1,H,0,0,D
E1,31/08/98,Bristol City,Huddersfield Town,1,2,A,1,0,H
E1,31/08/98,Bury,Swindon,3,0,H,0,0,D
E1,31/08/98,Grimsby,West Bromwich Albion,5,1,H,4,0,H
E1,31/08/98,Port Vale,Ipswich,0,3,A,0,1,A
E1,31/08/98,Portsmouth,Queens Park Rangers,3,0,H,1,0,H
E1,31/08/98,Sheffield United,Crewe,3,1,H,1,1,D
E1,31/08/98,Wolverhampton Wanderers,Stockport,2,2,D,2,1,H
E1,05/09/98,Birmingham City,Bury,1,0,H,1,0,H
E1,05/09/98,Huddersfield Town,Sheffield United,1,0,H,0,0,D
E1,05/09/98,Stockport,Grimsby,2,0,H,0,0,D
E1,05/09/98,Swindon,Bristol City,3,2,H,3,0,H
E1,06/09/98,Oxford,Portsmouth,3,0,H,2,0,H
E1,08/09/98,Barnsley,Norwich City,1,3,A,1,0,H
E1,08/09/98,Birmingham City,Stockport,2,0,H,0,0,D
E1,08/09/98,Bury,Portsmouth,2,1,H,2,1,H
E1,08/09/98,Crewe,Crystal Palace,0,1,A,0,0,D
E1,08/09/98,Huddersfield Town,Watford,2,0,H,2,0,H
E1,08/09/98,Ipswich,Bradford,3,0,H,1,0,H
E1,08/09/98,Port Vale,Wolverhampton Wanderers,2,1,H,1,0,H
E1,08/09/98,Queens Park Rangers,Tranmere,0,0,D,0,0,D
E1,08/09/98,Sheffield United,Grimsby,3,2,H,0,1,A
E1,08/09/98,Sunderland,Bristol City,1,1,D,1,0,H
E1,08/09/98,West Bromwich Albion,Bolton Wanderers,2,3,A,1,2,A
E1,09/09/98,Swindon,Oxford,4,1,H,1,1,D
E1,11/09/98,Tranmere,Huddersfield Town,2,3,A,0,2,A
E1,12/09/98,Bolton Wanderers,Birmingham City,3,1,H,2,1,H
E1,12/09/98,Bradford,Sheffield United,2,2,D,2,2,D
E1,12/09/98,Crystal Palace,Port Vale,0,1,A,0,0,D
E1,12/09/98,Grimsby,Barnsley,1,2,A,0,1,A
E1,12/09/98,Oxford,Ipswich,3,3,D,1,1,D
E1,12/09/98,Portsmouth,Swindon,5,2,H,2,0,H
E1,12/09/98,Stockport,Crewe,1,1,D,0,1,A
E1,12/09/98,Watford,Queens Park Rangers,2,1,H,1,0,H
E1,12/09/98,Wolverhampton Wanderers,Sunderland,1,1,D,0,0,D
E1,13/09/98,Bristol City,West Bromwich Albion,1,3,A,0,2,A
E1,13/09/98,Norwich City,Bury,0,0,D,0,0,D
E1,19/09/98,Barnsley,Crystal Palace,4,0,H,2,0,H
E1,19/09/98,Birmingham City,Grimsby,0,1,A,0,0,D
E1,19/09/98,Bury,Tranmere,0,0,D,0,0,D
E1,19/09/98,Crewe,Bolton Wanderers,4,4,D,2,3,A
