team,GP,W,D,L,F,A,GD,P
Portsmouth,46,29,11,6,97,45,52,98
Leicester City,46,26,14,6,73,40,33,92
Sheffield United,46,23,11,12,72,52,20,80
Reading,46,25,4,17,61,46,15,79
Wolverhampton Wanderers,46,20,16,10,81,44,37,76
Nottingham Forest,46,20,14,12,82,50,32,74
Ipswich Town,46,19,13,14,80,64,16,70
Norwich City,46,19,12,15,60,49,11,69
Millwall,46,19,9,18,59,69,-10,66
Milton Keynes Dons,46,18,11,17,76,73,3,65
Gillingham,46,16,14,16,56,65,-9,62
Preston North End,46,16,13,17,68,70,-2,61
Watford,46,17,9,20,54,70,-16,60
Crystal Palace,46,14,17,15,59,52,7,59
Rotherham United,46,15,14,17,62,62,0,59
Burnley,46,15,10,21,65,89,-24,55
Walsall,46,15,9,22,57,69,-12,54
Derby County,46,15,7,24,55,74,-19,52
Bradford CityB,46,14,10,22,51,73,-22,52
Coventry City,46,12,14,20,46,62,-16,50
Stoke City,46,12,14,20,45,69,-24,50
Sheffield Wednesday,46,10,16,20,56,73,-17,46
Brighton & Hove Albion,46,11,12,23,49,67,-18,45
Grimsby Town,46,9,12,25,48,85,-37,39
