Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
E3,04/09/99,Hartlepool,Southend,1,2,A,,,,,,,,,,,,,,,,,,,,,
E3,04/09/99,Northampton,Carlisle,0,0,D,,,,,,,,,,,,,,,,,,,,,
E3,04/09/99,Rotherham,York,1,0,H,,,,,,,,,,,,,,,,,,,,,
E3,04/09/99,Torquay,Lincoln,5,2,H,,,,,,,,,,,,,,,,,,,,,
E3,05/09/99,Barnet,Macclesfield,2,1,H,,,,,,,,,,,,,,,,,,,,,
E3,05/09/99,Plymouth,Brighton & Hove Albion,3,3,D,,,,,,,,,,,,,,,,,,,,,
E3,11/09/99,Carlisle,Lincoln,1,0,H,,,,,,,,,,,,,,,,,,,,,
E3,11/09/99,Chester,Exeter,1,1,D,,,,,,,,,,,,,,,,,,,,,
E3,11/09/99,Halifax,Brighton & Hove Albion,2,1,H,,,,,,,,,,,,,,,,,,,,,
E3,11/09/99,Macclesfield,Southend,1,2,A,,,,,,,,,,,,,,,,,,,,,
E3,11/09/99,Mansfield,Leyton Orient,1,1,D,,,,,,,,,,,,,,,,,,,,,
E3,11/09/99,Northampton,Hartlepool,2,1,H,,,,,,,,,,,,,,,,,,,,,
E3,11/09/99,Plymouth,Rotherham,1,1,D,,,,,,,,,,,,,,,,,,,,,
E3,11/09/99,Rochdale,Darlington,0,0,D,,,,,,,,,,,,,,,,,,,,,
E3,11/09/99,Swansea City,Barnet,1,2,A,,,,,,,,,,,,,,,,,,,,,
E3,11/09/99,Torquay,Hull City,0,1,A,,,,,,,,,,,,,,,,,,,,,
E3,11/09/99,York,Peterboro,0,0,D,,,,,,,,,,,,,,,,,,,,,
E3,12/09/99,Cheltenham,Shrewsbury,0,1,A,,,,,,,,,,,,,,,,,,,,,
E3,18/09/99,Barnet,Northampton,2,1,H,,,,,,,,,,,,,,,,,,,,,
E3,18/09/99,Brighton & Hove Albion,Chester,2,3,A,,,,,,,,,,,,,,,,,,,,,
E3,18/09/99,Darlington,Mansfield,0,0,D,,,,,,,,,,,,,,,,,,,,,
E3,18/09/99,Exeter,York,2,1,H,,,,,,,,,,,,,,,,,,,,,
E3,18/09/99,Hartlepool,Plymouth,3,0,H,,,,,,,,,,,,,,,,,,,,,
E3,18/09/99,Hull City,Swansea City,2,0,H,,,,,,,,,,,,,,,,,,,,,
E3,18/09/99,Leyton Orient,Torquay,0,2,A,,,,,,,,,,,,,,,,,,,,,
E3,18/09/99,Lincoln,Macclesfield,1,1,D,,,,,,,,,,,,,,,,,,,,,
E3,18/09/99,Peterboro,Cheltenham,1,0,H,,,,,,,,,,,,,,,,,,,,,
E3,18/09/99,Rotherham,Rochdale,0,1,A,,,,,,,,,,,,,,,,,,,,,
E3,18/09/99,Shrewsbury,Carlisle,4,1,H,,,,,,,,,,,,,,,,,,,,,
