team,GP,W,D,L,F,A,GD,P
Real Sociedad,42,20,14,8,53,37,16,74
Hercules,42,19,14,9,61,34,27,71
Real Betis,42,19,14,9,61,38,23,71
Levante,42,19,14,9,63,45,18,71
FC Cartagena,42,18,11,13,58,49,9,65
Elche,42,18,9,15,67,57,10,63
Numancia,42,16,11,15,55,53,2,59
Recreativo Huelva,42,14,15,13,40,42,-2,57
Cordoba,42,14,13,15,40,46,-6,55
Rayo Vallecano,42,13,14,15,67,58,9,53
Albacete,42,12,16,14,60,62,-2,52
Huesca,42,12,16,14,36,40,-4,52
Celta Vigo,42,13,13,16,38,44,-6,52
U.D. SalamancaSalamanca,42,13,13,16,44,54,-10,52
Girona,42,13,13,16,45,59,-14,52
Las Palmas,42,12,15,15,49,49,0,51
Gimnastic de Tarragona,42,14,9,19,42,55,-13,51
Murcia,42,11,17,14,49,51,-2,50
Cádiz,42,12,14,16,49,64,-15,50
Real Unión IrunReal Unión,42,12,10,20,40,59,-19,46
CastellonCastellon,42,7,12,23,37,62,-25,33
Alcoyano,0,0,0,0,0,0,0,0
