team,GP,W,D,L,F,A,GD,P
Real Betis,42,25,8,9,85,44,41,83
Rayo Vallecano,42,23,10,9,73,48,25,79
Barcelona BBarcelona B,42,20,11,11,85,62,23,71
Elche,42,18,15,9,55,42,13,69
Granada,42,18,14,10,71,47,24,68
Celta Vigo,42,17,16,9,62,43,19,67
Real Valladolid,42,19,9,14,65,51,14,66
Xerez,42,17,9,16,60,64,-4,60
AD Alcorcon,42,17,7,18,57,52,5,58
Numancia,42,17,6,19,65,63,2,57
Girona,42,15,12,15,58,56,2,57
Recreativo HuelvaRecreativo,42,12,20,10,44,37,7,56
FC Cartagena,42,16,8,18,48,63,-15,56
Huesca,42,13,16,13,39,45,-6,55
Las Palmas,42,13,15,14,56,71,-15,54
Cordoba,42,13,13,16,58,63,-5,52
Villarreal BVillarreal B,42,15,6,21,43,63,-20,51
Gimnastic de Tarragona,42,12,13,17,37,45,-8,49
U.D. SalamancaSalamanca,42,13,7,22,46,68,-22,46
Tenerife,42,9,11,22,42,66,-24,38
Ponferradina,42,5,19,18,36,63,-27,34
Albacete,42,7,11,24,35,64,-29,32
