team,GP,W,D,L,F,A,GD,P
Barcelona,23,18,5,0,60,11,49,59
Atletico Madrid,23,15,7,1,34,9,25,52
Valencia,23,13,4,6,45,27,18,43
Real Madrid,22,12,6,4,50,23,27,42
Villarreal,23,11,4,8,34,28,6,37
Sevilla FC,23,11,3,9,29,34,-5,36
Eibar,23,10,5,8,32,34,-2,35
Real Betis,23,10,3,10,38,45,-7,33
Celta Vigo,23,9,5,9,41,34,7,32
Girona,23,8,7,8,31,30,1,31
Getafe,23,7,9,7,26,21,5,30
Leganes,22,8,5,9,20,22,-2,29
Athletic Bilbao,23,6,10,7,24,25,-1,28
Real Sociedad,23,7,5,11,43,45,-2,26
Espanyol,23,6,8,9,21,31,-10,26
Alavés,23,8,1,14,21,33,-12,25
Levante,23,3,11,9,21,35,-14,20
Las Palmas,23,5,3,15,17,50,-33,18
Deportivo La Coruña,23,4,5,14,24,52,-28,17
Málaga,23,3,4,16,14,36,-22,13
