team,GP,W,D,L,F,A,GD,P
Atletico Madrid,10,5,4,1,12,5,7,19
Barcelona,9,5,3,1,23,11,12,18
Espanyol,10,5,3,2,14,8,6,18
Alavés,9,5,2,2,12,8,4,17
Sevilla FC,9,5,1,3,20,12,8,16
Real Valladolid,10,4,4,2,9,7,2,16
Levante,10,5,1,4,16,15,1,16
Real Madrid,9,4,2,3,13,9,4,14
Celta Vigo,10,3,4,3,17,13,4,13
Girona,10,3,4,3,12,14,-2,13
Getafe,9,3,3,3,8,8,0,12
Real Sociedad,10,3,3,4,12,13,-1,12
Real Betis,9,3,3,3,5,7,-2,12
Valencia,10,1,8,1,7,8,-1,11
Eibar,10,3,2,5,10,17,-7,11
Athletic Bilbao,10,1,7,2,11,15,-4,10
Villarreal,9,2,3,4,7,8,-1,9
Leganes,10,2,2,6,8,15,-7,8
Rayo Vallecano,10,1,3,6,10,20,-10,6
Huesca,9,1,2,6,7,20,-13,5
