team,GP,W,D,L,F,A,GD,P
Deportivo La Coruña,42,29,4,9,76,45,31,91
Celta Vigo,42,26,7,9,83,37,46,85
Real Valladolid,42,23,13,6,69,37,32,82
AD Alcorcon,42,21,10,11,58,42,16,73
Hercules,42,22,6,14,62,43,19,72
Cordoba,42,20,11,11,52,43,9,71
Almeria,42,18,16,8,63,43,20,70
Barcelona BBarcelona B,42,16,11,15,63,53,10,59
Las Palmas,42,16,10,16,58,59,-1,58
Numancia,42,15,12,15,54,52,2,57
Elche,42,17,6,19,56,58,-2,57
Villarreal BVillarreal B,42,14,10,18,54,64,-10,52
Huesca,42,14,9,19,49,63,-14,51
Xerez,42,13,11,18,50,66,-16,50
Girona,42,12,13,17,58,61,-3,49
GuadalajaraGuadalajara,42,14,7,21,50,75,-25,49
Recreativo HuelvaRecreativo,42,12,11,19,49,52,-3,47
Murcia,42,13,8,21,49,67,-18,47
CD SabadellCD Sabadell,42,11,13,18,45,64,-19,46
FC Cartagena,42,9,13,20,37,58,-21,40
Alcoyano,42,9,10,23,46,78,-32,37
Gimnastic de Tarragona,42,6,13,23,37,58,-21,31
