team,GP,W,D,L,F,A,GD,P
Napoli,24,20,3,1,54,15,39,63
Juventus,24,20,2,2,61,15,46,62
Internazionale,24,13,9,2,40,19,21,48
AS Roma,24,14,5,5,38,19,19,47
Lazio,24,14,4,6,59,33,26,46
Sampdoria,24,12,5,7,44,32,12,41
AC Milan,24,11,5,8,34,30,4,38
Atalanta,24,10,7,7,36,28,8,37
Torino,24,8,12,4,35,29,6,36
Udinese,24,10,3,11,36,34,2,33
Fiorentina,24,8,7,9,33,31,2,31
Genoa,24,7,6,11,19,25,-6,27
Bologna,24,8,3,13,29,37,-8,27
Cagliari,24,7,4,13,22,34,-12,25
Sassuolo,24,6,5,13,14,41,-27,23
Chievo Verona,24,5,7,12,21,41,-20,22
Crotone,24,5,6,13,19,41,-22,21
SPALS,24,3,8,13,23,46,-23,17
Hellas Verona,24,4,4,16,22,48,-26,16
Benevento,24,2,1,21,15,56,-41,7
