Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
SP1,23/10/94,Real Valladolid,Real Sociedad,1,1,D
SP1,29/10/94,Real Sociedad,Barcelona,1,1,D
SP1,29/10/94,Tenerife,Deportivo La Coruña,1,1,D
SP1,29/10/94,Valencia,Celta Vigo,1,0,H
SP1,29/10/94,Real Zaragoza,Real Madrid,3,2,H
SP1,30/10/94,Atletico Madrid,Real Betis,0,2,A
SP1,30/10/94,Compostela,Logrones,2,0,H
SP1,30/10/94,Espanyol,Albacete,5,1,H
SP1,30/10/94,Oviedo,Real Valladolid,1,0,H
SP1,30/10/94,Sevilla FC,Sporting Gijón,5,1,H
SP1,31/10/94,Racing Santander,Athletic Bilbao,0,2,A
SP1,05/11/94,Real Madrid,Atletico Madrid,4,2,H
SP1,06/11/94,Albacete,Compostela,1,3,A
SP1,06/11/94,Athletic Bilbao,Espanyol,1,3,A
SP1,06/11/94,Barcelona,Oviedo,1,0,H
SP1,06/11/94,Real Betis,Valencia,1,1,D
SP1,06/11/94,Celta Vigo,Tenerife,3,2,H
SP1,06/11/94,Deportivo La Coruña,Real Sociedad,3,1,H
SP1,06/11/94,Logrones,Real Zaragoza,0,0,D
SP1,06/11/94,Sporting Gijón,Racing Santander,2,3,A
SP1,06/11/94,Real Valladolid,Sevilla FC,0,4,A
SP1,19/11/94,Compostela,Athletic Bilbao,0,1,A
SP1,19/11/94,Oviedo,Deportivo La Coruña,2,0,H
SP1,19/11/94,Valencia,Real Madrid,1,2,A
SP1,19/11/94,Real Valladolid,Barcelona,1,3,A
SP1,20/11/94,Atletico Madrid,Logrones,3,0,H
SP1,20/11/94,Espanyol,Sporting Gijón,1,1,D
SP1,20/11/94,Sevilla FC,Racing Santander,1,3,A
SP1,20/11/94,Real Sociedad,Celta Vigo,2,3,A
SP1,20/11/94,Tenerife,Real Betis,1,4,A
SP1,20/11/94,Real Zaragoza,Albacete,1,0,H
SP1,27/11/94,Albacete,Atletico Madrid,2,2,D
SP1,27/11/94,Athletic Bilbao,Real Zaragoza,1,0,H
SP1,27/11/94,Barcelona,Sevilla FC,0,1,A
SP1,27/11/94,Real Betis,Real Sociedad,0,0,D
SP1,27/11/94,Celta Vigo,Oviedo,0,0,D
SP1,27/11/94,Deportivo La Coruña,Real Valladolid,4,0,H
SP1,27/11/94,Logrones,Valencia,2,2,D
SP1,27/11/94,Real Madrid,Tenerife,4,2,H
SP1,27/11/94,Racing Santander,Espanyol,0,0,D
SP1,27/11/94,Sporting Gijón,Compostela,1,1,D
SP1,03/12/94,Atletico Madrid,Athletic Bilbao,2,1,H
SP1,03/12/94,Barcelona,Deportivo La Coruña,1,1,D
SP1,03/12/94,Real Sociedad,Real Madrid,1,1,D
SP1,03/12/94,Valencia,Albacete,3,3,D
SP1,04/12/94,Compostela,Racing Santander,2,1,H
SP1,04/12/94,Oviedo,Real Betis,0,0,D
SP1,04/12/94,Sevilla FC,Espanyol,3,0,H
SP1,04/12/94,Tenerife,Logrones,4,0,H
SP1,04/12/94,Real Valladolid,Celta Vigo,1,1,D
SP1,04/12/94,Real Zaragoza,Sporting Gijón,3,2,H
SP1,10/12/94,Athletic Bilbao,Valencia,2,1,H
SP1,11/12/94,Albacete,Tenerife,2,1,H
SP1,11/12/94,Real Betis,Real Valladolid,1,2,A
SP1,11/12/94,Celta Vigo,Barcelona,2,4,A
SP1,11/12/94,Espanyol,Compostela,2,0,H
SP1,11/12/94,Deportivo La Coruña,Sevilla FC,5,1,H
SP1,11/12/94,Logrones,Real Sociedad,0,4,A
SP1,11/12/94,Real Madrid,Oviedo,2,0,H
SP1,11/12/94,Racing Santander,Real Zaragoza,0,1,A
SP1,11/12/94,Sporting Gijón,Atletico Madrid,0,2,A
SP1,21/12/94,Atletico Madrid,Racing Santander,0,1,A
SP1,21/12/94,Barcelona,Real Betis,1,1,D
SP1,21/12/94,Deportivo La Coruña,Celta Vigo,1,2,A
SP1,21/12/94,Oviedo,Logrones,1,0,H
SP1,21/12/94,Sevilla FC,Compostela,3,0,H
SP1,21/12/94,Real Sociedad,Albacete,2,0,H
SP1,21/12/94,Tenerife,Athletic Bilbao,1,0,H
SP1,21/12/94,Valencia,Sporting Gijón,0,0,D
SP1,21/12/94,Real Zaragoza,Espanyol,1,0,H
SP1,22/12/94,Real Valladolid,Real Madrid,0,5,A
SP1,07/01/95,Real Madrid,Barcelona,5,0,H
SP1,08/01/95,Albacete,Oviedo,1,0,H
SP1,08/01/95,Athletic Bilbao,Real Sociedad,0,0,D
SP1,08/01/95,Real Betis,Deportivo La Coruña,0,0,D
SP1,08/01/95,Celta Vigo,Sevilla FC,0,0,D
SP1,08/01/95,Compostela,Real Zaragoza,3,2,H
SP1,08/01/95,Espanyol,Atletico Madrid,2,0,H
SP1,08/01/95,Logrones,Real Valladolid,0,0,D
