team,GP,W,D,L,F,A,GD,P
Real Valladolid,42,26,10,6,70,35,35,88
Almeria,42,24,8,10,73,49,24,80
Murcia,42,21,13,8,62,45,17,76
Granada,42,18,9,15,52,44,8,63
Cádiz,42,15,16,11,53,45,8,61
Albacete,42,16,12,14,49,48,1,60
Tenerife,42,18,6,18,48,51,-3,60
Xerez,42,16,10,16,47,42,5,58
Numancia,42,15,13,14,48,44,4,58
Club Polideportivo EjidoPoli Ejido,42,16,10,16,52,50,2,58
Elche,42,16,10,16,47,46,1,58
U.D. SalamancaSalamanca,42,15,12,15,53,50,3,57
Castellon,42,15,11,16,48,41,7,56
Sporting Gijón,42,16,8,18,53,53,0,56
Málaga,42,14,13,15,49,50,-1,55
Hercules,42,14,12,16,48,52,-4,54
Alavés,42,13,13,16,51,60,-9,52
Las Palmas,42,13,12,17,51,59,-8,51
Real Madrid CastillaRM Castilla,42,13,10,19,55,67,-12,49
Ponferradina,42,11,13,18,45,61,-16,46
Lorca CFLorca CF,41,9,10,22,35,57,-22,37
VecindarioVecindario,42,9,7,26,42,81,-39,34
