team,GP,W,D,L,F,A,GD,P
Eibar,42,19,14,9,49,28,21,71
Deportivo La Coruña,42,19,12,11,48,36,12,69
Barcelona BBarcelona B,42,20,6,16,60,47,13,66
Murcia,42,16,17,9,55,44,11,65
Sporting Gijón,42,16,16,10,63,51,12,64
Las Palmas,42,18,9,15,51,50,1,63
Cordoba,42,16,13,13,46,43,3,61
Recreativo HuelvaRecreativo,42,16,13,13,53,53,0,61
AD Alcorcon,42,16,11,15,46,40,6,59
CD SabadellCD Sabadell,42,17,8,17,52,59,-7,59
Tenerife,42,15,9,18,46,49,-3,54
Lugo,42,14,12,16,41,48,-7,54
Numancia,42,11,21,10,42,41,1,54
Real Zaragoza,42,13,14,15,49,53,-4,53
Ponferradina,42,13,12,17,46,49,-3,51
Girona,42,12,15,15,52,50,2,51
Mallorca,42,12,15,15,46,57,-11,51
Alavés,42,13,12,17,57,57,0,51
Mirandes,42,13,11,18,39,56,-17,50
Real Madrid CastillaRM Castilla,42,13,10,19,49,56,-7,49
Real Jaen CFJ,42,12,12,18,43,49,-6,48
Hercules,42,11,12,19,45,62,-17,45
