team,GP,W,D,L,F,A,GD,P
Rayo Vallecano,42,21,13,8,67,48,19,76
Huesca,42,21,12,9,61,40,21,75
Real Zaragoza,42,20,11,11,57,44,13,71
Sporting Gijón,42,21,8,13,60,40,20,71
Real Valladolid,42,19,10,13,69,55,14,67
Numancia,42,18,11,13,52,41,11,65
Real Oviedo,42,18,11,13,54,48,6,65
Osasuna,42,16,16,10,44,34,10,64
Cádiz,42,16,16,10,42,29,13,64
Granada,42,17,10,15,55,50,5,61
Tenerife,42,15,14,13,58,50,8,59
Lugo,42,15,10,17,39,48,-9,55
AD Alcorcon,42,12,16,14,37,42,-5,52
Reus DeportiuR,42,12,16,14,31,42,-11,52
Gimnastic de Tarragona,42,15,7,20,44,50,-6,52
Cordoba,42,15,6,21,57,65,-8,51
Albacete,42,11,16,15,35,46,-11,49
Almeria,42,12,12,18,38,45,-7,48
Cultural Leonesa,42,11,15,16,54,67,-13,48
Barcelona BBarcelona B,42,10,14,18,46,54,-8,44
La Hoya Lorca,42,8,9,25,37,68,-31,33
Sevilla Atletico,42,7,11,24,29,60,-31,32
