team,GP,W,D,L,F,A,GD,P
Elche,42,23,13,6,54,27,27,82
Villarreal,42,21,14,7,68,38,30,77
Almeria,42,22,8,12,72,50,22,74
Girona,42,21,8,13,74,56,18,71
AD Alcorcon,42,21,6,15,57,55,2,69
Las Palmas,42,18,12,12,62,55,7,66
Ponferradina,42,19,9,14,57,50,7,66
Real Madrid CastillaRM Castilla,42,17,8,17,80,62,18,59
Barcelona BBarcelona B,42,15,12,15,76,71,5,57
Sporting Gijón,42,15,11,16,60,53,7,56
Lugo,42,15,11,16,46,54,-8,56
Numancia,42,13,16,13,53,55,-2,55
Cordoba,42,15,9,18,55,55,0,54
Recreativo HuelvaRecreativo,42,15,9,18,46,57,-11,54
CD SabadellCD Sabadell,42,14,10,18,54,69,-15,52
Mirandes,42,13,13,16,35,51,-16,52
GuadalajaraGuadalajara,42,12,14,16,46,53,-7,50
Hercules,42,13,11,18,43,53,-10,50
Murcia,42,12,11,19,43,56,-13,47
Racing Santander,42,12,10,20,38,51,-13,46
Huesca,42,11,12,19,46,58,-12,45
Xerez,42,7,9,26,38,74,-36,30
