team,GP,W,D,L,F,A,GD,P
Real Betis,42,25,9,8,73,40,33,84
Sporting Gijón,42,21,19,2,57,27,30,82
Girona,42,24,10,8,63,35,28,82
Las Palmas,42,22,12,8,73,47,26,78
Real Valladolid,42,21,9,12,65,40,25,72
Real Zaragoza,42,15,16,11,61,58,3,61
Ponferradina,42,16,12,14,55,51,4,60
Mirandes,42,16,11,15,42,44,-2,59
LlagosteraLlagostera,42,15,12,15,41,41,0,57
Leganes,42,15,11,16,48,42,6,56
AD Alcorcon,42,12,18,12,44,49,-5,54
Numancia,42,12,17,13,54,55,-1,53
Alavés,42,14,11,17,49,53,-4,53
Albacete,42,14,9,19,55,65,-10,51
Lugo,42,11,16,15,48,56,-8,49
Mallorca,42,13,9,20,51,64,-13,48
Tenerife,42,11,15,16,41,48,-7,48
Osasuna,42,11,12,19,41,60,-19,45
Racing Santander,42,12,8,22,42,53,-11,44
Recreativo HuelvaRecreativo,42,10,11,21,37,59,-22,41
CD SabadellCD Sabadell,42,8,14,20,41,66,-25,38
Barcelona BBarcelona B,42,9,9,24,55,83,-28,36
