team,GP,W,D,L,F,A,GD,P
Borussia Dortmund,9,6,3,0,29,10,19,21
Bayern Munich,9,6,1,2,17,10,7,19
Borussia Monchengladbach,9,5,2,2,20,12,8,17
Werder Bremen,9,5,2,2,17,14,3,17
RB Leipzig,9,4,4,1,16,9,7,16
Hertha Berlin,9,4,4,1,15,10,5,16
Eintracht Frankfurt,9,4,2,3,20,13,7,14
TSG Hoffenheim,9,4,1,4,18,13,5,13
FC Augsburg,9,3,3,3,16,14,2,12
VfL Wolfsburg,9,3,3,3,14,14,0,12
SC Freiburg,9,3,3,3,13,15,-2,12
Bayer Leverkusen,9,3,2,4,15,17,-2,11
Mainz,9,2,3,4,5,10,-5,9
Nurnberg,9,2,3,4,9,20,-11,9
Schalke ,9,2,1,6,5,11,-6,7
Hannover ,9,1,3,5,11,18,-7,6
VfB Stuttgart,9,1,2,6,6,21,-15,5
Fortuna DüsseldorfF,9,1,2,6,6,21,-15,5
