team,GP,W,D,L,F,A,GD,P
Juventus,42,28,10,4,83,30,53,85
Napoli,42,21,16,5,52,29,23,79
Genoa,42,23,9,10,68,44,24,78
PiacenzaPiacenza,42,20,8,14,57,50,7,68
RiminiRimini,42,17,16,9,55,38,17,67
Brescia,42,19,10,13,51,43,8,67
Bologna,42,18,11,13,52,43,9,65
MantovaMantova,42,15,19,8,47,36,11,64
Lecce,42,17,7,18,56,53,3,58
AlbinoleffeAlbinoleffe,42,11,20,11,46,48,-2,53
Vicenza,42,12,14,16,42,43,-1,50
TrevisoTreviso,42,11,17,14,44,47,-3,50
Bari,42,12,14,16,40,46,-6,50
Frosinone,42,12,14,16,44,54,-10,50
ModenaModena,42,12,13,17,38,46,-8,49
Cesena,42,12,13,17,51,66,-15,49
TriestinaTriestina,42,11,16,15,37,48,-11,48
Hellas Verona,42,12,12,18,34,46,-12,48
SpeziaS,42,11,13,18,50,61,-11,46
ArezzoArezzo,42,12,15,15,42,46,-4,45
Crotone,42,7,11,24,36,67,-31,32
US Pescara,42,5,10,27,36,77,-41,24
