team,GP,W,D,L,F,A,GD,P
Atalanta,42,22,13,7,61,35,26,79
Siena,42,21,14,7,67,35,32,77
Novara,44,18,18,8,65,40,25,72
VareseVarese,44,16,21,7,54,38,16,69
PadovaPadova,44,16,18,10,67,51,16,66
RegginaReggina,44,15,18,11,48,42,6,63
Livorno,42,15,14,13,49,46,3,59
Torino,42,15,13,14,49,48,1,58
Ascoli,42,14,14,14,44,48,-4,56
ModenaModena,42,12,19,11,46,51,-5,55
Empoli,41,12,18,11,45,39,6,54
Crotone,42,13,15,14,45,50,-5,54
Vicenza,42,15,9,18,44,54,-10,54
US Pescara,42,14,11,17,44,48,-4,53
CittadellaC,42,12,15,15,50,54,-4,51
Sassuolo,42,13,12,17,42,46,-4,51
GrossetoGrosseto,42,12,15,15,43,50,-7,51
AlbinoleffeAlbinoleffe,44,13,12,19,57,68,-11,51
PiacenzaPiacenza,44,11,15,18,52,65,-13,48
PortosummagaPortosummaga,41,10,10,21,39,62,-23,40
TriestinaTriestina,42,8,16,18,34,57,-23,40
Frosinone,42,8,14,20,46,64,-18,38
