team,GP,W,D,L,F,A,GD,P
Sassuolo,42,25,10,7,78,40,38,85
Hellas Verona,42,23,13,6,67,32,35,82
Livorno,42,23,11,8,77,47,30,80
Empoli,42,20,13,9,69,51,18,73
Novara,42,19,10,13,73,46,27,64
Brescia,42,15,17,10,58,50,8,62
VareseVarese,42,16,13,13,55,53,2,60
ModenaModena,42,15,12,15,52,51,1,55
TernanaT,42,12,17,13,37,38,-1,53
Bari,42,16,12,14,55,47,8,53
PadovaPadova,42,12,17,13,47,51,-4,53
Crotone,42,14,13,15,45,56,-11,53
SpeziaS,42,12,15,15,52,58,-6,51
Cesena,42,12,14,16,46,59,-13,50
CittadellaC,42,12,14,16,48,61,-13,50
Juve StabiaJuve Stabia,42,12,14,16,54,65,-11,50
RegginaReggina,42,12,15,15,42,51,-9,49
LancianoLanciano,42,9,21,12,50,60,-10,48
Vicenza,42,10,12,20,41,58,-17,42
Ascoli,42,11,9,22,48,67,-19,41
Pro VercelliV,42,8,9,25,37,67,-30,33
GrossetoGrosseto,42,7,13,22,44,67,-23,28
